,episode,penalty,alpha,gamma,epsilon
138,138,4,0.7,0.6,0.1091017142255921
139,139,1,0.7,0.6,0.10811563569330501
140,140,3,0.7,0.6,0.10713936880635058
141,141,0,0.7,0.6,0.10617281593722651
142,142,5,0.7,0.6,0.10521588042984047
143,143,4,0.7,0.6,0.10426846658984422
144,144,4,0.7,0.6,0.10333047967506427
145,145,4,0.7,0.6,0.10240182588602749
146,146,7,0.7,0.6,0.10148241235658108
147,147,5,0.7,0.6,0.10057214714460594
148,148,2,0.7,0.6,0.0996709392228223
149,149,2,0.7,0.6,0.09877869846968697
150,150,4,0.7,0.6,0.0978953356603811
151,151,3,0.7,0.6,0.09702076245788763
152,152,4,0.7,0.6,0.09615489140415749
153,153,15,0.7,0.6,0.09529763591136375
154,154,2,0.7,0.6,0.09444891025324276
155,155,2,0.7,0.6,0.0936086295565214
156,156,3,0.7,0.6,0.09277670979242979
157,157,7,0.7,0.6,0.09195306776829824
158,158,0,0.7,0.6,0.09113762111923798
159,159,1,0.7,0.6,0.09033028829990454
160,160,3,0.7,0.6,0.08953098857634323
161,161,4,0.7,0.6,0.0887396420179156
162,162,4,0.7,0.6,0.08795616948930635
163,163,3,0.7,0.6,0.08718049264260971
164,164,3,0.7,0.6,0.08641253390949465
165,165,3,0.7,0.6,0.08565221649344783
166,166,3,0.7,0.6,0.08489946436209408
167,167,1,0.7,0.6,0.084154202239593
168,168,1,0.7,0.6,0.08341635559911124
169,169,1,0.7,0.6,0.08268585065536989
170,170,2,0.7,0.6,0.08196261435726582
171,171,0,0.7,0.6,0.08124657438056651
172,172,3,0.7,0.6,0.08053765912067762
173,173,4,0.7,0.6,0.07983579768548235
174,174,3,0.7,0.6,0.07914091988825235
175,175,3,0.7,0.6,0.07845295624062877
176,176,3,0.7,0.6,0.0777718379456736
177,177,2,0.7,0.6,0.0770974968909897
178,178,0,0.7,0.6,0.07642986564190968
179,179,1,0.7,0.6,0.07576887743475225
180,180,2,0.7,0.6,0.07511446617014586
181,181,2,0.7,0.6,0.07446656640641874
182,182,1,0.7,0.6,0.07382511335305457
183,183,7,0.7,0.6,0.07319004286421349
184,184,3,0.7,0.6,0.07256129143231736
185,185,3,0.7,0.6,0.07193879618169907
186,186,2,0.7,0.6,0.07132249486231476
187,187,0,0.7,0.6,0.07071232584351896
188,188,1,0.7,0.6,0.07010822810790125
189,189,2,0.7,0.6,0.0695101412451847
190,190,2,0.7,0.6,0.06891800544618462
191,191,0,0.7,0.6,0.06833176149682767
192,192,2,0.7,0.6,0.06775135077223035
193,193,1,0.7,0.6,0.06717671523083656
194,194,2,0.7,0.6,0.06660779740861325
195,195,4,0.7,0.6,0.06604454041330414
196,196,1,0.7,0.6,0.0654868879187403
197,197,1,0.7,0.6,0.06493478415920755
198,198,1,0.7,0.6,0.06438817392386986
199,199,2,0.7,0.6,0.0638470025512482
200,200,0,0.7,0.6,0.0633112159237543
201,201,2,0.7,0.6,0.06278076046227896
202,202,5,0.7,0.6,0.06225558312083393
203,203,1,0.7,0.6,0.06173563138124747
204,204,1,0.7,0.6,0.06122085324791229
205,205,1,0.7,0.6,0.060711197242586105
206,206,2,0.7,0.6,0.06020661239924365
207,207,2,0.7,0.6,0.05970704825898009
208,208,2,0.7,0.6,0.059212454864965125
209,209,1,0.7,0.6,0.05872278275744715
210,210,4,0.7,0.6,0.05823798296880739
211,211,2,0.7,0.6,0.057758007018662946
212,212,0,0.7,0.6,0.05728280690901886
213,213,1,0.7,0.6,0.05681233511946813
214,214,4,0.7,0.6,0.05634654460243977
215,215,1,0.7,0.6,0.05588538877849389
216,216,0,0.7,0.6,0.05542882153166382
217,217,1,0.7,0.6,0.054976797204844385
218,218,0,0.7,0.6,0.05452927059522624
219,219,4,0.7,0.6,0.05408619694977544
220,220,2,0.7,0.6,0.05364753196075826
221,221,1,0.7,0.6,0.053213231761310216
222,222,0,0.7,0.6,0.052783252921049455
223,223,0,0.7,0.6,0.05235755244173361
224,224,1,0.7,0.6,0.05193608775296003
225,225,0,0.7,0.6,0.051518816707908595
226,226,1,0.7,0.6,0.05110569757912709
227,227,1,0.7,0.6,0.050696689054358354
228,228,3,0.7,0.6,0.05029175023240908
229,229,1,0.7,0.6,0.0498908406190596
230,230,3,0.7,0.6,0.049493920123014526
231,231,0,0.7,0.6,0.049100949051893446
232,232,0,0.7,0.6,0.04871188810826181
233,233,1,0.7,0.6,0.04832669838570101
234,234,1,0.7,0.6,0.04794534136491778
235,235,1,0.7,0.6,0.047567778909892285
236,236,1,0.7,0.6,0.047193973264064354
237,237,0,0.7,0.6,0.04682388704655792
238,238,1,0.7,0.6,0.0464574832484428
239,239,0,0.7,0.6,0.046094725229033885
240,240,1,0.7,0.6,0.04573557671222689
241,241,1,0.7,0.6,0.04538000178287088
242,242,2,0.7,0.6,0.04502796488317658
243,243,1,0.7,0.6,0.044679430809160675
244,244,1,0.7,0.6,0.0443343647071253
245,245,0,0.7,0.6,0.04399273207017271
246,246,2,0.7,0.6,0.04365449873475449
247,247,1,0.7,0.6,0.04331963087725529
248,248,0,0.7,0.6,0.04298809501061023
249,249,2,0.7,0.6,0.04265985798095643
250,250,2,0.7,0.6,0.04233488696431734
251,251,2,0.7,0.6,0.042013149463320534
252,252,0,0.7,0.6,0.041694613303947754
253,253,1,0.7,0.6,0.04137924663231765
254,254,3,0.7,0.6,0.04106701791150023
255,255,0,0.7,0.6,0.04075789591836323
256,256,0,0.7,0.6,0.04045184974044972
257,257,4,0.7,0.6,0.0401488487728869
258,258,1,0.7,0.6,0.03984886271532549
259,259,0,0.7,0.6,0.03955186156890974
260,260,0,0.7,0.6,0.03925781563327752
261,261,3,0.7,0.6,0.038966695503590214
262,262,2,0.7,0.6,0.03867847206759227
263,263,0,0.7,0.6,0.03839311650269988
264,264,0,0.7,0.6,0.03811060027311878
265,265,0,0.7,0.6,0.03783089512699056
266,266,0,0.7,0.6,0.03755397309356755
267,267,0,0.7,0.6,0.03727980648041559
268,268,0,0.7,0.6,0.03700836787064494
269,269,1,0.7,0.6,0.036739630120168384
270,270,1,0.7,0.6,0.03647356635498696
271,271,1,0.7,0.6,0.03621014996850241
272,272,1,0.7,0.6,0.03594935461885657
273,273,3,0.7,0.6,0.03569115422629715
274,274,0,0.7,0.6,0.03543552297056973
275,275,1,0.7,0.6,0.03518243528833571
276,276,4,0.7,0.6,0.034931865870615954
277,277,1,0.7,0.6,0.034683789660259874
278,278,0,0.7,0.6,0.03443818184943973
279,279,1,0.7,0.6,0.034195017877169734
280,280,0,0.7,0.6,0.03395427342685005
281,281,0,0.7,0.6,0.033715924423835
282,282,0,0.7,0.6,0.03347994703302568
283,283,1,0.7,0.6,0.033246317656486356
284,284,0,0.7,0.6,0.03301501293108466
285,285,1,0.7,0.6,0.03278600972615532
286,286,1,0.7,0.6,0.032559285141187
287,287,0,0.7,0.6,0.032334816503532274
288,288,2,0.7,0.6,0.03211258136614029
289,289,3,0.7,0.6,0.031892557505312155
290,290,0,0.7,0.6,0.03167472291847839
291,291,2,0.7,0.6,0.03145905582199882
292,292,0,0.7,0.6,0.031245534648984045
293,293,0,0.7,0.6,0.03103413804713885
294,294,0,0.7,0.6,0.030824844876626865
295,295,1,0.7,0.6,0.030617634207956643
296,296,1,0.7,0.6,0.030412485319888632
297,297,1,0.7,0.6,0.030209377697363073
298,298,0,0.7,0.6,0.03000829102944845
299,299,0,0.7,0.6,0.029809205207310417
300,300,2,0.7,0.6,0.02961210032220083
301,301,1,0.7,0.6,0.029416956663466942
302,302,0,0.7,0.6,0.029223754716580237
303,303,0,0.7,0.6,0.029032475161185053
304,304,1,0.7,0.6,0.02884309886916643
305,305,0,0.7,0.6,0.028655606902737364
306,306,0,0.7,0.6,0.028469980512544957
307,307,1,0.7,0.6,0.02828620113579551
308,308,1,0.7,0.6,0.028104250394398185
309,309,3,0.7,0.6,0.027924110093127237
310,310,1,0.7,0.6,0.027745762217802415
311,311,0,0.7,0.6,0.027569188933487546
312,312,0,0.7,0.6,0.02739437258270707
313,313,0,0.7,0.6,0.027221295683680216
314,314,0,0.7,0.6,0.027049940928572866
315,315,1,0.7,0.6,0.0268802911817667
316,316,0,0.7,0.6,0.026712329478145676
317,317,0,0.7,0.6,0.026546039021399438
318,318,0,0.7,0.6,0.026381403182343763
319,319,1,0.7,0.6,0.026218405497257534
320,320,1,0.7,0.6,0.026057029666236423
321,321,1,0.7,0.6,0.025897259551562822
322,322,0,0.7,0.6,0.025739079176092146
323,323,1,0.7,0.6,0.025582472721655022
324,324,2,0.7,0.6,0.025427424527475505
325,325,1,0.7,0.6,0.025273919088604956
326,326,0,0.7,0.6,0.025121941054371585
327,327,1,0.7,0.6,0.0249714752268453
328,328,0,0.7,0.6,0.024822506559317982
329,329,1,0.7,0.6,0.024675020154798718
330,330,0,0.7,0.6,0.024529001264524168
331,331,0,0.7,0.6,0.024384435286483597
332,332,1,0.7,0.6,0.024241307763958757
333,333,3,0.7,0.6,0.0240996043840781
334,334,1,0.7,0.6,0.023959310976385567
335,335,1,0.7,0.6,0.02382041351142347
336,336,0,0.7,0.6,0.02368289809932956
337,337,0,0.7,0.6,0.02354675098844804
338,338,0,0.7,0.6,0.02341195856395436
339,339,1,0.7,0.6,0.023278507346493747
340,340,0,0.7,0.6,0.023146383990833234
341,341,1,0.7,0.6,0.02301557528452717
342,342,1,0.7,0.6,0.022886068146595905
343,343,0,0.7,0.6,0.02275784962621773
344,344,0,0.7,0.6,0.022630906901433746
345,345,0,0.7,0.6,0.0225052272778657
346,346,1,0.7,0.6,0.022380798187446496
347,347,0,0.7,0.6,0.02225760718716341
348,348,0,0.7,0.6,0.022135641957813736
349,349,0,0.7,0.6,0.02201489030277292
350,350,1,0.7,0.6,0.02189534014677482
351,351,0,0.7,0.6,0.021776979534704217
352,352,1,0.7,0.6,0.02165979663040126
353,353,0,0.7,0.6,0.02154377971547788
354,354,0,0.7,0.6,0.021428917188145893
355,355,0,0.7,0.6,0.021315197562056853
356,356,0,0.7,0.6,0.021202609465153375
357,357,0,0.7,0.6,0.021091141638531957
358,358,0,0.7,0.6,0.020980782935317036
359,359,0,0.7,0.6,0.020871522319546337
360,360,0,0.7,0.6,0.02076334886506722
361,361,0,0.7,0.6,0.020656251754444098
362,362,1,0.7,0.6,0.020550220277876664
363,363,1,0.7,0.6,0.02044524383212889
364,364,0,0.7,0.6,0.02034131191946873
365,365,0,0.7,0.6,0.020238414146618304
366,366,0,0.7,0.6,0.020136540223714586
367,367,0,0.7,0.6,0.020035679963280376
368,368,0,0.7,0.6,0.019935823279205594
369,369,2,0.7,0.6,0.019836960185738613
370,370,1,0.7,0.6,0.0197390807964877
371,371,1,0.7,0.6,0.019642175323432362
372,372,0,0.7,0.6,0.01954623407594454
373,373,0,0.7,0.6,0.019451247459819535
374,374,1,0.7,0.6,0.01935720597631658
375,375,0,0.7,0.6,0.01926410022120895
376,376,0,0.7,0.6,0.019171920883843552
377,377,0,0.7,0.6,0.01908065874620983
378,378,1,0.7,0.6,0.018990304682017973
379,379,0,0.7,0.6,0.01890084965578626
380,380,0,0.7,0.6,0.01881228472193753
381,381,1,0.7,0.6,0.01872460102390458
382,382,1,0.7,0.6,0.018637789793244555
383,383,0,0.7,0.6,0.01855184234876203
384,384,0,0.7,0.6,0.018466750095640944
385,385,0,0.7,0.6,0.01838250452458507
386,386,0,0.7,0.6,0.018299097210967098
387,387,1,0.7,0.6,0.01821651981398616
388,388,0,0.7,0.6,0.01813476407583374
389,389,0,0.7,0.6,0.0180538218208679
390,390,0,0.7,0.6,0.017973684954795684
391,391,0,0.7,0.6,0.017894345463863714
392,392,0,0.7,0.6,0.017815795414056767
393,393,1,0.7,0.6,0.017738026950304412
394,394,0,0.7,0.6,0.017661032295695465
395,395,0,0.7,0.6,0.017584803750700304
396,396,0,0.7,0.6,0.0175093336924009
397,397,0,0.7,0.6,0.017434614573728538
398,398,1,0.7,0.6,0.01736063892270908
399,399,0,0.7,0.6,0.017287399341715783
400,400,0,0.7,0.6,0.017214888506729503
401,401,0,0.7,0.6,0.01714309916660633
402,402,0,0.7,0.6,0.01707202414235242
403,403,0,0.7,0.6,0.01700165632640611
404,404,0,0.7,0.6,0.016931988681927183
405,405,0,0.7,0.6,0.016863014242093122
406,406,0,0.7,0.6,0.01679472610940247
407,407,1,0.7,0.6,0.016727117454985042
408,408,1,0.7,0.6,0.01666018151791907
409,409,0,0.7,0.6,0.016593911604555058
410,410,0,0.7,0.6,0.016528301087846448
411,411,0,0.7,0.6,0.01646334340668689
412,412,0,0.7,0.6,0.016399032065254133
413,413,0,0.7,0.6,0.01633536063236045
414,414,0,0.7,0.6,0.01627232274080949
415,415,1,0.7,0.6,0.016209912086759565
416,416,0,0.7,0.6,0.016148122429093248
417,417,0,0.7,0.6,0.016086947588793303
418,418,1,0.7,0.6,0.01602638144832471
419,419,0,0.7,0.6,0.01596641795102295
420,420,0,0.7,0.6,0.015907051100488324
421,421,0,0.7,0.6,0.015848274959986305
422,422,0,0.7,0.6,0.015790083651853866
423,423,0,0.7,0.6,0.015732471356911696
424,424,0,0.7,0.6,0.015675432313882288
425,425,0,0.7,0.6,0.015618960818813817
426,426,1,0.7,0.6,0.01556305122450971
427,427,0,0.7,0.6,0.015507697939963944
428,428,0,0.7,0.6,0.015452895429801935
429,429,0,0.7,0.6,0.015398638213727006
430,430,0,0.7,0.6,0.01534492086597233
431,431,0,0.7,0.6,0.015291738014758364
432,432,0,0.7,0.6,0.015239084341755669
433,433,0,0.7,0.6,0.015186954581553069
434,434,1,0.7,0.6,0.015135343521131103
435,435,1,0.7,0.6,0.015084245999340717
436,436,0,0.7,0.6,0.015033656906387147
437,437,1,0.7,0.6,0.014983571183318948
438,438,1,0.7,0.6,0.01493398382152207
439,439,0,0.7,0.6,0.01488488986221901
440,440,0,0.7,0.6,0.01483628439597293
441,441,0,0.7,0.6,0.01478816256219669
442,442,0,0.7,0.6,0.014740519548666824
443,443,0,0.7,0.6,0.014693350591042272
444,444,1,0.7,0.6,0.014646650972387962
445,445,0,0.7,0.6,0.014600416022703108
446,446,0,0.7,0.6,0.014554641118454222
447,447,0,0.7,0.6,0.01450932168211273
448,448,0,0.7,0.6,0.014464453181697227
449,449,0,0.7,0.6,0.014420031130320282
450,450,0,0.7,0.6,0.014376051085739742
451,451,0,0.7,0.6,0.0143325086499145
452,452,0,0.7,0.6,0.014289399468564685
453,453,1,0.7,0.6,0.014246719230736232
454,454,0,0.7,0.6,0.014204463668369803
455,455,0,0.7,0.6,0.01416262855587394
456,456,0,0.7,0.6,0.014121209709702535
457,457,0,0.7,0.6,0.014080202987936451
458,458,0,0.7,0.6,0.014039604289869341
459,459,0,0.7,0.6,0.013999409555597569
460,460,1,0.7,0.6,0.013959614765614208
461,461,0,0.7,0.6,0.013920215940407096
462,462,0,0.7,0.6,0.013881209140060885
463,463,0,0.7,0.6,0.01384259046386303
464,464,0,0.7,0.6,0.013804356049913733
465,465,1,0.7,0.6,0.013766502074739733
466,466,2,0.7,0.6,0.013729024752911967
467,467,0,0.7,0.6,0.013691920336667027
468,468,0,0.7,0.6,0.013655185115532363
469,469,1,0.7,0.6,0.01361881541595525
470,470,0,0.7,0.6,0.013582807600935418
471,471,0,0.7,0.6,0.013547158069661369
472,472,0,0.7,0.6,0.013511863257150258
473,473,0,0.7,0.6,0.013476919633891426
474,474,0,0.7,0.6,0.013442323705493423
475,475,0,0.7,0.6,0.013408072012334583
476,476,1,0.7,0.6,0.013374161129217048
477,477,0,0.7,0.6,0.013340587665024245
478,478,0,0.7,0.6,0.013307348262381773
479,479,0,0.7,0.6,0.013274439597321674
480,480,0,0.7,0.6,0.013241858378950016
481,481,0,0.7,0.6,0.013209601349117812
482,482,0,0.7,0.6,0.013177665282095193
483,483,1,0.7,0.6,0.01314604698424885
484,484,1,0.7,0.6,0.013114743293722647
485,485,0,0.7,0.6,0.013083751080121442
486,486,0,0.7,0.6,0.013053067244198049
487,487,0,0.7,0.6,0.01302268871754331
488,488,0,0.7,0.6,0.012992612462279242
489,489,0,0.7,0.6,0.012962835470755251
490,490,0,0.7,0.6,0.012933354765247375
491,491,0,0.7,0.6,0.012904167397660492
492,492,0,0.7,0.6,0.012875270449233525
493,493,0,0.7,0.6,0.012846661030247548
494,494,1,0.7,0.6,0.01281833627973682
495,495,0,0.7,0.6,0.012790293365202685
496,496,0,0.7,0.6,0.012762529482330327
497,497,0,0.7,0.6,0.012735041854708315
498,498,0,0.7,0.6,0.012707827733550985
499,499,0,0.7,0.6,0.012680884397423537
500,500,0,0.7,0.6,0.012654209151969912
501,501,0,0.7,0.6,0.012627799329643332
502,502,0,0.7,0.6,0.012601652289439557
503,503,0,0.7,0.6,0.012575765416632774
504,504,0,0.7,0.6,0.012550136122514134
505,505,1,0.7,0.6,0.012524761844132868
506,506,0,0.7,0.6,0.01249964004403999
507,507,0,0.7,0.6,0.012474768210034553
508,508,1,0.7,0.6,0.012450143854912436
509,509,0,0.7,0.6,0.012425764516217604
510,510,0,0.7,0.6,0.01240162775599587
511,511,1,0.7,0.6,0.012377731160551096
512,512,0,0.7,0.6,0.012354072340203831
513,513,0,0.7,0.6,0.012330648929052317
514,514,0,0.7,0.6,0.012307458584735925
515,515,0,0.7,0.6,0.012284498988200894
516,516,0,0.7,0.6,0.012261767843468436
517,517,0,0.7,0.6,0.012239262877405139
518,518,0,0.7,0.6,0.012216981839495641
519,519,0,0.7,0.6,0.012194922501617586
520,520,1,0.7,0.6,0.012173082657818798
521,521,0,0.7,0.6,0.012151460124096701
522,522,0,0.7,0.6,0.012130052738179905
523,523,0,0.7,0.6,0.012108858359311974
524,524,0,0.7,0.6,0.012087874868037363
525,525,0,0.7,0.6,0.012067100165989457
526,526,2,0.7,0.6,0.01204653217568074
527,527,0,0.7,0.6,0.01202616884029504
528,528,0,0.7,0.6,0.012006008123481848
529,529,0,0.7,0.6,0.011986048009152685
530,530,0,0.7,0.6,0.011966286501279483
531,531,0,0.7,0.6,0.011946721623694985
532,532,1,0.7,0.6,0.011927351419895128
533,533,1,0.7,0.6,0.011908173952843396
534,534,0,0.7,0.6,0.011889187304777098
535,535,0,0.7,0.6,0.011870389577015604
536,536,1,0.7,0.6,0.011851778889770475
537,537,0,0.7,0.6,0.011833353381957477
538,538,0,0.7,0.6,0.011815111211010476
539,539,0,0.7,0.6,0.011797050552697173
540,540,0,0.7,0.6,0.011779169600936688
541,541,0,0.7,0.6,0.01176146656761894
542,542,0,0.7,0.6,0.01174393968242585
543,543,2,0.7,0.6,0.01172658719265429
544,544,0,0.7,0.6,0.011709407363040823
545,545,1,0.7,0.6,0.01169239847558817
546,546,1,0.7,0.6,0.011675558829393412
547,547,0,0.7,0.6,0.0116588867404779
548,548,0,0.7,0.6,0.011642380541618844
549,549,0,0.7,0.6,0.011626038582182604
550,550,0,0.7,0.6,0.01160985922795962
551,551,0,0.7,0.6,0.011593840861000987
552,552,0,0.7,0.6,0.011577981879456658
553,553,0,0.7,0.6,0.011562280697415262
554,554,0,0.7,0.6,0.011546735744745516
555,555,0,0.7,0.6,0.011531345466939194
556,556,0,0.7,0.6,0.011516108324955691
557,557,0,0.7,0.6,0.01150102279506811
558,558,0,0.7,0.6,0.011486087368710894
559,559,0,0.7,0.6,0.01147130055232896
560,560,0,0.7,0.6,0.011456660867228347
561,561,0,0.7,0.6,0.011442166849428342
562,562,0,0.7,0.6,0.011427817049515093
563,563,0,0.7,0.6,0.011413610032496645
564,564,1,0.7,0.6,0.01139954437765946
565,565,0,0.7,0.6,0.01138561867842633
566,566,1,0.7,0.6,0.01137183154221573
567,567,0,0.7,0.6,0.011358181590302548
568,568,0,0.7,0.6,0.01134466745768022
569,569,0,0.7,0.6,0.011331287792924218
570,570,0,0.7,0.6,0.011318041258056919
571,571,1,0.7,0.6,0.011304926528413797
572,572,0,0.7,0.6,0.01129194229251096
573,573,0,0.7,0.6,0.011279087251913993
574,574,0,0.7,0.6,0.011266360121108128
575,575,0,0.7,0.6,0.011253759627369679
576,576,0,0.7,0.6,0.01124128451063877
577,577,0,0.7,0.6,0.011228933523393332
578,578,0,0.7,0.6,0.011216705430524348
579,579,0,0.7,0.6,0.01120459900921234
580,580,0,0.7,0.6,0.01119261304880509
581,581,0,0.7,0.6,0.011180746350696567
582,582,1,0.7,0.6,0.011168997728207073
583,583,0,0.7,0.6,0.011157366006464569
584,584,0,0.7,0.6,0.011145850022287185
585,585,1,0.7,0.6,0.011134448624066907
586,586,0,0.7,0.6,0.011123160671654414
587,587,0,0.7,0.6,0.011111985036245057
588,588,0,0.7,0.6,0.011100920600265981
589,589,0,0.7,0.6,0.01108996625726437
590,590,1,0.7,0.6,0.011079120911796792
591,591,0,0.7,0.6,0.011068383479319663
592,592,0,0.7,0.6,0.011057752886080791
593,593,0,0.7,0.6,0.01104722806901199
594,594,1,0.7,0.6,0.011036807975622783
595,595,0,0.7,0.6,0.011026491563895147
596,596,0,0.7,0.6,0.011016277802179314
597,597,0,0.7,0.6,0.0110061656690906
598,598,0,0.7,0.6,0.01099615415340727
599,599,0,0.7,0.6,0.01098624225396941
600,600,1,0.7,0.6,0.010976428979578819
601,601,0,0.7,0.6,0.01096671334889988
602,602,0,0.7,0.6,0.010957094390361428
603,603,0,0.7,0.6,0.010947571142059593
604,604,0,0.7,0.6,0.01093814265166161
605,605,0,0.7,0.6,0.01092880797631058
