,episode,iteration,reward,gamma
0,36.0,1.0,-1.0,0.8
1,36.0,2.0,-1.8,0.8
2,36.0,3.0,-2.4400000000000004,0.8
3,36.0,4.0,-2.9520000000000004,0.8
4,36.0,5.0,-3.3616000000000006,0.8
5,36.0,6.0,-3.6892800000000006,0.8
6,36.0,7.0,-3.9514240000000007,0.8
7,36.0,8.0,-4.161139200000001,0.8
8,36.0,9.0,-4.328911360000001,0.8
9,36.0,10.0,-4.463129088000001,0.8
10,36.0,11.0,-4.5705032704000015,0.8
11,36.0,12.0,-4.656402616320001,0.8
12,36.0,13.0,-4.725122093056001,0.8
13,36.0,14.0,-4.780097674444801,0.8
14,36.0,15.0,-3.9004883722240002,0.8
