,episode,iteration,reward,gamma
0,60.0,1.0,-1.0,0.4
1,60.0,2.0,-1.4,0.4
2,60.0,3.0,-1.56,0.4
3,60.0,4.0,-1.624,0.4
4,60.0,5.0,-1.6496000000000002,0.4
5,60.0,6.0,-1.6598400000000002,0.4
6,60.0,7.0,-1.6639360000000003,0.4
7,60.0,8.0,-1.6655744000000003,0.4
8,60.0,9.0,-1.6662297600000004,0.4
9,60.0,10.0,-1.6664919040000004,0.4
10,60.0,11.0,-1.6665967616000004,0.4
11,60.0,12.0,-1.6666387046400004,0.4
12,60.0,13.0,-1.6666554818560004,0.4
13,60.0,14.0,-1.6666621927424004,0.4
14,60.0,15.0,-1.6666648770969603,0.4
15,60.0,16.0,-1.6666659508387842,0.4
16,60.0,17.0,-1.6666663803355137,0.4
17,60.0,18.0,-1.6666665521342057,0.4
18,60.0,19.0,-1.6666666208536824,0.4
19,60.0,20.0,-1.6666666483414732,0.4
20,60.0,21.0,-1.6666666593365895,0.4
21,60.0,22.0,-1.6666666637346361,0.4
22,60.0,23.0,-1.6666666654938547,0.4
23,60.0,24.0,-1.6666666661975422,0.4
24,60.0,25.0,-1.6666666664790173,0.4
25,60.0,26.0,-1.6666666665916072,0.4
26,60.0,27.0,-1.6666666666366432,0.4
27,60.0,28.0,-1.6666666666546577,0.4
28,60.0,29.0,-1.6666666666618635,0.4
29,60.0,30.0,-1.6666666666647458,0.4
30,60.0,31.0,-1.6666666666658987,0.4
31,60.0,32.0,-1.6666666666663599,0.4
32,60.0,33.0,-1.6666666666665444,0.4
33,60.0,34.0,-1.6666666666666181,0.4
34,60.0,35.0,-1.6666666666666476,0.4
35,60.0,36.0,-1.6666666666666594,0.4
36,60.0,37.0,-1.666666666666664,0.4
37,60.0,38.0,-1.666666666666666,0.4
38,60.0,39.0,-1.6666666666666667,0.4
39,60.0,40.0,-1.666666666666667,0.4
40,60.0,41.0,-1.6666666666666672,0.4
41,60.0,42.0,-1.6666666666666672,0.4
42,60.0,43.0,-1.6666666666666672,0.4
43,60.0,44.0,-1.6666666666666672,0.4
44,60.0,45.0,-1.6666666666666672,0.4
45,60.0,46.0,-1.6666666666666672,0.4
46,60.0,47.0,-1.6666666666666672,0.4
47,60.0,48.0,-1.6666666666666672,0.4
48,60.0,49.0,-1.6666666666666672,0.4
49,60.0,50.0,-1.6666666666666672,0.4
50,60.0,51.0,-1.6666666666666672,0.4
51,60.0,52.0,-1.6666666666666672,0.4
52,60.0,53.0,-1.6666666666666672,0.4
53,60.0,54.0,-1.6666666666666672,0.4
54,60.0,55.0,-1.6666666666666672,0.4
55,60.0,56.0,-1.6666666666666672,0.4
56,60.0,57.0,-1.6666666666666672,0.4
57,60.0,58.0,-1.6666666666666672,0.4
58,60.0,59.0,-1.6666666666666672,0.4
59,60.0,60.0,-1.6666666666666672,0.4
60,60.0,61.0,-1.6666666666666672,0.4
61,60.0,62.0,-1.6666666666666672,0.4
62,60.0,63.0,-1.6666666666666672,0.4
63,60.0,64.0,-1.6666666666666672,0.4
64,60.0,65.0,-1.6666666666666672,0.4
65,60.0,66.0,-1.6666666666666672,0.4
66,60.0,67.0,-1.6666666666666672,0.4
67,60.0,68.0,-1.6666666666666672,0.4
68,60.0,69.0,-1.6666666666666672,0.4
69,60.0,70.0,-1.6666666666666672,0.4
70,60.0,71.0,-1.6666666666666672,0.4
71,60.0,72.0,-1.6666666666666672,0.4
72,60.0,73.0,-1.6666666666666672,0.4
73,60.0,74.0,-1.6666666666666672,0.4
74,60.0,75.0,-1.6666666666666672,0.4
75,60.0,76.0,-1.6666666666666672,0.4
76,60.0,77.0,-1.6666666666666672,0.4
77,60.0,78.0,-1.6666666666666672,0.4
78,60.0,79.0,-1.6666666666666672,0.4
79,60.0,80.0,-1.6666666666666672,0.4
80,60.0,81.0,-1.6666666666666672,0.4
81,60.0,82.0,-1.6666666666666672,0.4
82,60.0,83.0,-1.6666666666666672,0.4
83,60.0,84.0,-1.6666666666666672,0.4
84,60.0,85.0,-1.6666666666666672,0.4
85,60.0,86.0,-1.6666666666666672,0.4
86,60.0,87.0,-1.6666666666666672,0.4
87,60.0,88.0,-1.6666666666666672,0.4
88,60.0,89.0,-1.6666666666666672,0.4
89,60.0,90.0,-1.6666666666666672,0.4
90,60.0,91.0,-1.6666666666666672,0.4
91,60.0,92.0,-1.6666666666666672,0.4
92,60.0,93.0,-1.6666666666666672,0.4
93,60.0,94.0,-1.6666666666666672,0.4
94,60.0,95.0,-1.6666666666666672,0.4
95,60.0,96.0,-1.6666666666666672,0.4
96,60.0,97.0,-1.6666666666666672,0.4
97,60.0,98.0,-1.6666666666666672,0.4
98,60.0,99.0,-1.6666666666666672,0.4
99,60.0,100.0,-1.6666666666666672,0.4
100,60.0,101.0,-1.6666666666666672,0.4
101,60.0,102.0,-1.6666666666666672,0.4
102,60.0,103.0,-1.6666666666666672,0.4
103,60.0,104.0,-1.6666666666666672,0.4
104,60.0,105.0,-1.6666666666666672,0.4
105,60.0,106.0,-1.6666666666666672,0.4
106,60.0,107.0,-1.6666666666666672,0.4
107,60.0,108.0,-1.6666666666666672,0.4
108,60.0,109.0,-1.6666666666666672,0.4
109,60.0,110.0,-1.6666666666666672,0.4
110,60.0,111.0,-1.6666666666666672,0.4
111,60.0,112.0,-1.6666666666666672,0.4
112,60.0,113.0,-1.6666666666666672,0.4
113,60.0,114.0,-1.6666666666666672,0.4
114,60.0,115.0,-1.6666666666666672,0.4
115,60.0,116.0,-1.6666666666666672,0.4
116,60.0,117.0,-1.6666666666666672,0.4
117,60.0,118.0,-1.6666666666666672,0.4
118,60.0,119.0,-1.6666666666666672,0.4
119,60.0,120.0,-1.6666666666666672,0.4
120,60.0,121.0,-1.6666666666666672,0.4
121,60.0,122.0,-1.6666666666666672,0.4
122,60.0,123.0,-1.6666666666666672,0.4
123,60.0,124.0,-1.6666666666666672,0.4
124,60.0,125.0,-1.6666666666666672,0.4
