,episode,iteration,reward,gamma
0,99.0,1.0,-1.0,0.4
1,99.0,2.0,-1.4,0.4
2,99.0,3.0,-1.56,0.4
3,99.0,4.0,-1.624,0.4
4,99.0,5.0,-1.6496000000000002,0.4
5,99.0,6.0,-1.6598400000000002,0.4
6,99.0,7.0,-1.6639360000000003,0.4
7,99.0,8.0,-1.6655744000000003,0.4
8,99.0,9.0,-1.6662297600000004,0.4
9,99.0,10.0,-1.6664919040000004,0.4
10,99.0,11.0,-1.6665967616000004,0.4
11,99.0,12.0,-1.6666387046400004,0.4
12,99.0,13.0,-1.6666554818560004,0.4
13,99.0,14.0,-1.6666621927424004,0.4
14,99.0,15.0,-1.6666648770969603,0.4
15,99.0,16.0,-1.6666659508387842,0.4
16,99.0,17.0,-1.6666663803355137,0.4
17,99.0,18.0,-1.6666665521342057,0.4
18,99.0,19.0,-1.6666666208536824,0.4
19,99.0,20.0,-1.6666666483414732,0.4
20,99.0,21.0,-1.6666666593365895,0.4
21,99.0,22.0,-1.6666666637346361,0.4
22,99.0,23.0,-1.6666666654938547,0.4
23,99.0,24.0,-1.6666666661975422,0.4
24,99.0,25.0,-1.6666666664790173,0.4
25,99.0,26.0,-1.6666666665916072,0.4
26,99.0,27.0,-1.6666666666366432,0.4
27,99.0,28.0,-1.6666666666546577,0.4
28,99.0,29.0,-1.6666666666618635,0.4
29,99.0,30.0,-1.6666666666647458,0.4
30,99.0,31.0,-1.6666666666658987,0.4
31,99.0,32.0,-1.6666666666663599,0.4
32,99.0,33.0,-1.6666666666665444,0.4
33,99.0,34.0,-1.6666666666666181,0.4
34,99.0,35.0,-1.6666666666666476,0.4
35,99.0,36.0,-1.6666666666666594,0.4
36,99.0,37.0,-1.666666666666664,0.4
37,99.0,38.0,-1.666666666666666,0.4
38,99.0,39.0,-1.6666666666666667,0.4
39,99.0,40.0,-1.666666666666667,0.4
40,99.0,41.0,-1.6666666666666672,0.4
41,99.0,42.0,-1.6666666666666672,0.4
42,99.0,43.0,-1.6666666666666672,0.4
43,99.0,44.0,-1.6666666666666672,0.4
44,99.0,45.0,-1.6666666666666672,0.4
45,99.0,46.0,-1.6666666666666672,0.4
46,99.0,47.0,-1.6666666666666672,0.4
47,99.0,48.0,-1.6666666666666672,0.4
48,99.0,49.0,-1.6666666666666672,0.4
49,99.0,50.0,-1.6666666666666672,0.4
50,99.0,51.0,-1.6666666666666672,0.4
51,99.0,52.0,-1.6666666666666672,0.4
52,99.0,53.0,-1.6666666666666672,0.4
53,99.0,54.0,-1.6666666666666672,0.4
54,99.0,55.0,-1.6666666666666672,0.4
55,99.0,56.0,-1.6666666666666672,0.4
56,99.0,57.0,-1.6666666666666672,0.4
57,99.0,58.0,-1.6666666666666672,0.4
58,99.0,59.0,-1.6666666666666672,0.4
59,99.0,60.0,-1.6666666666666672,0.4
60,99.0,61.0,-1.6666666666666672,0.4
61,99.0,62.0,-1.6666666666666672,0.4
62,99.0,63.0,-1.6666666666666672,0.4
63,99.0,64.0,-1.6666666666666672,0.4
64,99.0,65.0,-1.6666666666666672,0.4
65,99.0,66.0,-1.6666666666666672,0.4
66,99.0,67.0,-1.6666666666666672,0.4
67,99.0,68.0,-1.6666666666666672,0.4
68,99.0,69.0,-1.6666666666666672,0.4
69,99.0,70.0,-1.6666666666666672,0.4
70,99.0,71.0,-1.6666666666666672,0.4
71,99.0,72.0,-1.6666666666666672,0.4
72,99.0,73.0,-1.6666666666666672,0.4
73,99.0,74.0,-1.6666666666666672,0.4
74,99.0,75.0,-1.6666666666666672,0.4
75,99.0,76.0,-1.6666666666666672,0.4
76,99.0,77.0,-1.6666666666666672,0.4
77,99.0,78.0,-1.6666666666666672,0.4
78,99.0,79.0,-1.6666666666666672,0.4
79,99.0,80.0,-1.6666666666666672,0.4
80,99.0,81.0,-1.6666666666666672,0.4
81,99.0,82.0,-1.6666666666666672,0.4
82,99.0,83.0,-1.6666666666666672,0.4
83,99.0,84.0,-1.6666666666666672,0.4
84,99.0,85.0,-1.6666666666666672,0.4
85,99.0,86.0,-1.6666666666666672,0.4
86,99.0,87.0,-1.6666666666666672,0.4
87,99.0,88.0,-1.6666666666666672,0.4
88,99.0,89.0,-1.6666666666666672,0.4
89,99.0,90.0,-1.6666666666666672,0.4
90,99.0,91.0,-1.6666666666666672,0.4
91,99.0,92.0,-1.6666666666666672,0.4
92,99.0,93.0,-1.6666666666666672,0.4
93,99.0,94.0,-1.6666666666666672,0.4
94,99.0,95.0,-1.6666666666666672,0.4
95,99.0,96.0,-1.6666666666666672,0.4
96,99.0,97.0,-1.6666666666666672,0.4
97,99.0,98.0,-1.6666666666666672,0.4
98,99.0,99.0,-1.6666666666666672,0.4
99,99.0,100.0,-1.6666666666666672,0.4
100,99.0,101.0,-1.6666666666666672,0.4
101,99.0,102.0,-1.6666666666666672,0.4
102,99.0,103.0,-1.6666666666666672,0.4
103,99.0,104.0,-1.6666666666666672,0.4
104,99.0,105.0,-1.6666666666666672,0.4
105,99.0,106.0,-1.6666666666666672,0.4
106,99.0,107.0,-1.6666666666666672,0.4
107,99.0,108.0,-1.6666666666666672,0.4
108,99.0,109.0,-1.6666666666666672,0.4
109,99.0,110.0,-1.6666666666666672,0.4
110,99.0,111.0,-1.6666666666666672,0.4
111,99.0,112.0,-1.6666666666666672,0.4
112,99.0,113.0,-1.6666666666666672,0.4
113,99.0,114.0,-1.6666666666666672,0.4
114,99.0,115.0,-1.6666666666666672,0.4
115,99.0,116.0,-1.6666666666666672,0.4
116,99.0,117.0,-1.6666666666666672,0.4
117,99.0,118.0,-1.6666666666666672,0.4
118,99.0,119.0,-1.6666666666666672,0.4
119,99.0,120.0,-1.6666666666666672,0.4
120,99.0,121.0,-1.6666666666666672,0.4
121,99.0,122.0,-1.6666666666666672,0.4
122,99.0,123.0,-1.6666666666666672,0.4
123,99.0,124.0,-1.6666666666666672,0.4
124,99.0,125.0,-1.6666666666666672,0.4
125,99.0,126.0,-1.6666666666666672,0.4
126,99.0,127.0,-1.6666666666666672,0.4
127,99.0,128.0,-1.6666666666666672,0.4
128,99.0,129.0,-1.6666666666666672,0.4
129,99.0,130.0,-1.6666666666666672,0.4
130,99.0,131.0,-1.6666666666666672,0.4
131,99.0,132.0,-1.6666666666666672,0.4
132,99.0,133.0,-1.6666666666666672,0.4
133,99.0,134.0,-1.6666666666666672,0.4
134,99.0,135.0,-1.6666666666666672,0.4
135,99.0,136.0,-1.6666666666666672,0.4
136,99.0,137.0,-1.6666666666666672,0.4
137,99.0,138.0,-1.6666666666666672,0.4
138,99.0,139.0,-1.6666666666666672,0.4
139,99.0,140.0,-1.6666666666666672,0.4
140,99.0,141.0,-1.6666666666666672,0.4
141,99.0,142.0,-1.6666666666666672,0.4
142,99.0,143.0,-1.6666666666666672,0.4
143,99.0,144.0,-1.6666666666666672,0.4
144,99.0,145.0,-1.6666666666666672,0.4
145,99.0,146.0,-1.6666666666666672,0.4
146,99.0,147.0,-1.6666666666666672,0.4
147,99.0,148.0,-1.6666666666666672,0.4
148,99.0,149.0,-1.6666666666666672,0.4
149,99.0,150.0,-1.6666666666666672,0.4
150,99.0,151.0,-1.6666666666666672,0.4
151,99.0,152.0,-1.6666666666666672,0.4
152,99.0,153.0,-1.6666666666666672,0.4
153,99.0,154.0,-1.6666666666666672,0.4
154,99.0,155.0,-1.6666666666666672,0.4
155,99.0,156.0,-1.6666666666666672,0.4
156,99.0,157.0,-1.6666666666666672,0.4
157,99.0,158.0,-1.6666666666666672,0.4
158,99.0,159.0,-1.6666666666666672,0.4
159,99.0,160.0,-1.6666666666666672,0.4
160,99.0,161.0,-1.6666666666666672,0.4
161,99.0,162.0,-1.6666666666666672,0.4
162,99.0,163.0,-1.6666666666666672,0.4
163,99.0,164.0,-1.6666666666666672,0.4
