,episode,iteration,reward,gamma
0,1.0,1.0,-1.0,0.4
1,1.0,2.0,-1.4,0.4
2,1.0,3.0,-1.56,0.4
3,1.0,4.0,-1.624,0.4
4,1.0,5.0,-1.6496000000000002,0.4
5,1.0,6.0,-1.6598400000000002,0.4
6,1.0,7.0,-1.6639360000000003,0.4
7,1.0,8.0,-1.6655744000000003,0.4
8,1.0,9.0,-1.6662297600000004,0.4
9,1.0,10.0,-1.6664919040000004,0.4
10,1.0,11.0,-1.6665967616000004,0.4
11,1.0,12.0,-1.6666387046400004,0.4
12,1.0,13.0,-1.6666554818560004,0.4
13,1.0,14.0,-1.6666621927424004,0.4
14,1.0,15.0,-1.6666648770969603,0.4
15,1.0,16.0,-1.6666659508387842,0.4
16,1.0,17.0,-1.6666663803355137,0.4
17,1.0,18.0,-1.6666665521342057,0.4
18,1.0,19.0,-1.6666666208536824,0.4
19,1.0,20.0,-1.6666666483414732,0.4
20,1.0,21.0,-1.6666666593365895,0.4
21,1.0,22.0,-1.6666666637346361,0.4
22,1.0,23.0,-1.6666666654938547,0.4
23,1.0,24.0,-1.6666666661975422,0.4
24,1.0,25.0,-1.6666666664790173,0.4
25,1.0,26.0,-1.6666666665916072,0.4
26,1.0,27.0,-1.6666666666366432,0.4
27,1.0,28.0,-1.6666666666546577,0.4
28,1.0,29.0,-1.6666666666618635,0.4
29,1.0,30.0,-1.6666666666647458,0.4
30,1.0,31.0,-1.6666666666658987,0.4
31,1.0,32.0,-1.6666666666663599,0.4
32,1.0,33.0,-1.6666666666665444,0.4
33,1.0,34.0,-1.6666666666666181,0.4
34,1.0,35.0,-1.6666666666666476,0.4
35,1.0,36.0,-1.6666666666666594,0.4
36,1.0,37.0,-1.666666666666664,0.4
37,1.0,38.0,-1.666666666666666,0.4
38,1.0,39.0,-1.6666666666666667,0.4
39,1.0,40.0,-1.666666666666667,0.4
40,1.0,41.0,-1.6666666666666672,0.4
41,1.0,42.0,-1.6666666666666672,0.4
42,1.0,43.0,-1.6666666666666672,0.4
43,1.0,44.0,-1.6666666666666672,0.4
44,1.0,45.0,-1.6666666666666672,0.4
45,1.0,46.0,-1.6666666666666672,0.4
46,1.0,47.0,-1.6666666666666672,0.4
47,1.0,48.0,-1.6666666666666672,0.4
48,1.0,49.0,-1.6666666666666672,0.4
49,1.0,50.0,-1.6666666666666672,0.4
50,1.0,51.0,-1.6666666666666672,0.4
51,1.0,52.0,-1.6666666666666672,0.4
52,1.0,53.0,-1.6666666666666672,0.4
53,1.0,54.0,-1.6666666666666672,0.4
54,1.0,55.0,-1.6666666666666672,0.4
55,1.0,56.0,-1.6666666666666672,0.4
56,1.0,57.0,-1.6666666666666672,0.4
57,1.0,58.0,-1.6666666666666672,0.4
58,1.0,59.0,-1.6666666666666672,0.4
59,1.0,60.0,-1.6666666666666672,0.4
60,1.0,61.0,-1.6666666666666672,0.4
61,1.0,62.0,-1.6666666666666672,0.4
62,1.0,63.0,-1.6666666666666672,0.4
63,1.0,64.0,-1.6666666666666672,0.4
64,1.0,65.0,-1.6666666666666672,0.4
65,1.0,66.0,-1.6666666666666672,0.4
66,1.0,67.0,-1.6666666666666672,0.4
67,1.0,68.0,-1.6666666666666672,0.4
68,1.0,69.0,-1.6666666666666672,0.4
69,1.0,70.0,-1.6666666666666672,0.4
70,1.0,71.0,-1.6666666666666672,0.4
71,1.0,72.0,-1.6666666666666672,0.4
72,1.0,73.0,-1.6666666666666672,0.4
73,1.0,74.0,-1.6666666666666672,0.4
74,1.0,75.0,-1.6666666666666672,0.4
75,1.0,76.0,-1.6666666666666672,0.4
76,1.0,77.0,-1.6666666666666672,0.4
77,1.0,78.0,-1.6666666666666672,0.4
78,1.0,79.0,-1.6666666666666672,0.4
79,1.0,80.0,-1.6666666666666672,0.4
80,1.0,81.0,-1.6666666666666672,0.4
81,1.0,82.0,-1.6666666666666672,0.4
82,1.0,83.0,-1.6666666666666672,0.4
83,1.0,84.0,-1.6666666666666672,0.4
84,1.0,85.0,-1.6666666666666672,0.4
85,1.0,86.0,-1.6666666666666672,0.4
86,1.0,87.0,-1.6666666666666672,0.4
87,1.0,88.0,-1.6666666666666672,0.4
88,1.0,89.0,-1.6666666666666672,0.4
89,1.0,90.0,-1.6666666666666672,0.4
90,1.0,91.0,-1.6666666666666672,0.4
91,1.0,92.0,-1.6666666666666672,0.4
92,1.0,93.0,-1.6666666666666672,0.4
93,1.0,94.0,-1.6666666666666672,0.4
94,1.0,95.0,-1.6666666666666672,0.4
95,1.0,96.0,-1.6666666666666672,0.4
96,1.0,97.0,-1.6666666666666672,0.4
97,1.0,98.0,-1.6666666666666672,0.4
98,1.0,99.0,-1.6666666666666672,0.4
99,1.0,100.0,-1.6666666666666672,0.4
100,1.0,101.0,-1.6666666666666672,0.4
101,1.0,102.0,-1.6666666666666672,0.4
102,1.0,103.0,-1.6666666666666672,0.4
103,1.0,104.0,-1.6666666666666672,0.4
104,1.0,105.0,-1.6666666666666672,0.4
105,1.0,106.0,-1.6666666666666672,0.4
106,1.0,107.0,-1.6666666666666672,0.4
107,1.0,108.0,-1.6666666666666672,0.4
108,1.0,109.0,-1.6666666666666672,0.4
109,1.0,110.0,-1.6666666666666672,0.4
110,1.0,111.0,-1.6666666666666672,0.4
111,1.0,112.0,-1.6666666666666672,0.4
112,1.0,113.0,-1.6666666666666672,0.4
113,1.0,114.0,-1.6666666666666672,0.4
114,1.0,115.0,-1.6666666666666672,0.4
115,1.0,116.0,-1.6666666666666672,0.4
116,1.0,117.0,-1.6666666666666672,0.4
117,1.0,118.0,-1.6666666666666672,0.4
118,1.0,119.0,-1.6666666666666672,0.4
119,1.0,120.0,-1.6666666666666672,0.4
120,1.0,121.0,-1.6666666666666672,0.4
121,1.0,122.0,-1.6666666666666672,0.4
122,1.0,123.0,-1.6666666666666672,0.4
