,episode,iteration,reward,gamma
0,18.0,1.0,-1.0,0.4
1,18.0,2.0,-1.4,0.4
2,18.0,3.0,-1.56,0.4
3,18.0,4.0,-1.624,0.4
4,18.0,5.0,-1.6496000000000002,0.4
5,18.0,6.0,-1.6598400000000002,0.4
6,18.0,7.0,-1.6639360000000003,0.4
7,18.0,8.0,-1.6655744000000003,0.4
8,18.0,9.0,-1.6662297600000004,0.4
9,18.0,10.0,-1.6664919040000004,0.4
10,18.0,11.0,-1.6665967616000004,0.4
11,18.0,12.0,-1.6666387046400004,0.4
12,18.0,13.0,-1.6666554818560004,0.4
13,18.0,14.0,-1.6666621927424004,0.4
14,18.0,15.0,-1.6666648770969603,0.4
15,18.0,16.0,-1.6666659508387842,0.4
16,18.0,17.0,-1.6666663803355137,0.4
17,18.0,18.0,-1.6666665521342057,0.4
18,18.0,19.0,-1.6666666208536824,0.4
19,18.0,20.0,-1.6666666483414732,0.4
20,18.0,21.0,-1.6666666593365895,0.4
21,18.0,22.0,-1.6666666637346361,0.4
22,18.0,23.0,-1.6666666654938547,0.4
23,18.0,24.0,-1.6666666661975422,0.4
24,18.0,25.0,-1.6666666664790173,0.4
25,18.0,26.0,-1.6666666665916072,0.4
26,18.0,27.0,-1.6666666666366432,0.4
27,18.0,28.0,-1.6666666666546577,0.4
28,18.0,29.0,-1.6666666666618635,0.4
29,18.0,30.0,-1.6666666666647458,0.4
30,18.0,31.0,-1.6666666666658987,0.4
31,18.0,32.0,-1.6666666666663599,0.4
32,18.0,33.0,-1.6666666666665444,0.4
33,18.0,34.0,-1.6666666666666181,0.4
34,18.0,35.0,-1.6666666666666476,0.4
35,18.0,36.0,-1.6666666666666594,0.4
36,18.0,37.0,-1.666666666666664,0.4
37,18.0,38.0,-1.666666666666666,0.4
38,18.0,39.0,-1.6666666666666667,0.4
39,18.0,40.0,-1.666666666666667,0.4
40,18.0,41.0,-1.6666666666666672,0.4
41,18.0,42.0,-1.6666666666666672,0.4
42,18.0,43.0,-1.6666666666666672,0.4
43,18.0,44.0,-1.6666666666666672,0.4
44,18.0,45.0,-1.6666666666666672,0.4
45,18.0,46.0,-1.6666666666666672,0.4
46,18.0,47.0,-1.6666666666666672,0.4
47,18.0,48.0,-1.6666666666666672,0.4
48,18.0,49.0,-1.6666666666666672,0.4
49,18.0,50.0,-1.6666666666666672,0.4
50,18.0,51.0,-1.6666666666666672,0.4
51,18.0,52.0,-1.6666666666666672,0.4
52,18.0,53.0,-1.6666666666666672,0.4
53,18.0,54.0,-1.6666666666666672,0.4
54,18.0,55.0,-1.6666666666666672,0.4
55,18.0,56.0,-1.6666666666666672,0.4
56,18.0,57.0,-1.6666666666666672,0.4
57,18.0,58.0,-1.6666666666666672,0.4
58,18.0,59.0,-1.6666666666666672,0.4
59,18.0,60.0,-1.6666666666666672,0.4
60,18.0,61.0,-1.6666666666666672,0.4
61,18.0,62.0,-1.6666666666666672,0.4
62,18.0,63.0,-1.6666666666666672,0.4
63,18.0,64.0,-1.6666666666666672,0.4
64,18.0,65.0,-1.6666666666666672,0.4
65,18.0,66.0,-1.6666666666666672,0.4
66,18.0,67.0,-1.6666666666666672,0.4
67,18.0,68.0,-1.6666666666666672,0.4
68,18.0,69.0,-1.6666666666666672,0.4
69,18.0,70.0,-1.6666666666666672,0.4
70,18.0,71.0,-1.6666666666666672,0.4
71,18.0,72.0,-1.6666666666666672,0.4
72,18.0,73.0,-1.6666666666666672,0.4
73,18.0,74.0,-1.6666666666666672,0.4
74,18.0,75.0,-1.6666666666666672,0.4
75,18.0,76.0,-1.6666666666666672,0.4
76,18.0,77.0,-1.6666666666666672,0.4
77,18.0,78.0,-1.6666666666666672,0.4
78,18.0,79.0,-1.6666666666666672,0.4
79,18.0,80.0,-1.6666666666666672,0.4
80,18.0,81.0,-1.6666666666666672,0.4
81,18.0,82.0,-1.6666666666666672,0.4
82,18.0,83.0,-1.6666666666666672,0.4
83,18.0,84.0,-1.6666666666666672,0.4
84,18.0,85.0,-1.6666666666666672,0.4
85,18.0,86.0,-1.6666666666666672,0.4
86,18.0,87.0,-1.6666666666666672,0.4
87,18.0,88.0,-1.6666666666666672,0.4
88,18.0,89.0,-1.6666666666666672,0.4
89,18.0,90.0,-1.6666666666666672,0.4
90,18.0,91.0,-1.6666666666666672,0.4
91,18.0,92.0,-1.6666666666666672,0.4
92,18.0,93.0,-1.6666666666666672,0.4
93,18.0,94.0,-1.6666666666666672,0.4
94,18.0,95.0,-1.6666666666666672,0.4
95,18.0,96.0,-1.6666666666666672,0.4
96,18.0,97.0,-1.6666666666666672,0.4
97,18.0,98.0,-1.6666666666666672,0.4
98,18.0,99.0,-1.6666666666666672,0.4
99,18.0,100.0,-1.6666666666666672,0.4
100,18.0,101.0,-1.6666666666666672,0.4
101,18.0,102.0,-1.6666666666666672,0.4
102,18.0,103.0,-1.6666666666666672,0.4
103,18.0,104.0,-1.6666666666666672,0.4
104,18.0,105.0,-1.6666666666666672,0.4
105,18.0,106.0,-1.6666666666666672,0.4
106,18.0,107.0,-1.6666666666666672,0.4
107,18.0,108.0,-1.6666666666666672,0.4
108,18.0,109.0,-1.6666666666666672,0.4
109,18.0,110.0,-1.6666666666666672,0.4
110,18.0,111.0,-1.6666666666666672,0.4
111,18.0,112.0,-1.6666666666666672,0.4
112,18.0,113.0,-1.6666666666666672,0.4
113,18.0,114.0,-1.6666666666666672,0.4
114,18.0,115.0,-1.6666666666666672,0.4
115,18.0,116.0,-1.6666666666666672,0.4
116,18.0,117.0,-1.6666666666666672,0.4
117,18.0,118.0,-1.6666666666666672,0.4
118,18.0,119.0,-1.6666666666666672,0.4
119,18.0,120.0,-1.6666666666666672,0.4
120,18.0,121.0,-1.6666666666666672,0.4
121,18.0,122.0,-1.6666666666666672,0.4
122,18.0,123.0,-1.6666666666666672,0.4
123,18.0,124.0,-1.6666666666666672,0.4
124,18.0,125.0,-1.6666666666666672,0.4
125,18.0,126.0,-1.6666666666666672,0.4
126,18.0,127.0,-1.6666666666666672,0.4
127,18.0,128.0,-1.6666666666666672,0.4
128,18.0,129.0,-1.6666666666666672,0.4
129,18.0,130.0,-1.6666666666666672,0.4
130,18.0,131.0,-1.6666666666666672,0.4
131,18.0,132.0,-1.6666666666666672,0.4
132,18.0,133.0,-1.6666666666666672,0.4
133,18.0,134.0,-1.6666666666666672,0.4
134,18.0,135.0,-1.6666666666666672,0.4
135,18.0,136.0,-1.6666666666666672,0.4
136,18.0,137.0,-1.6666666666666672,0.4
137,18.0,138.0,-1.6666666666666672,0.4
138,18.0,139.0,-1.6666666666666672,0.4
139,18.0,140.0,-1.6666666666666672,0.4
140,18.0,141.0,-1.6666666666666672,0.4
141,18.0,142.0,-1.6666666666666672,0.4
142,18.0,143.0,-1.6666666666666672,0.4
143,18.0,144.0,-1.6666666666666672,0.4
144,18.0,145.0,-1.6666666666666672,0.4
145,18.0,146.0,-1.6666666666666672,0.4
146,18.0,147.0,-1.6666666666666672,0.4
147,18.0,148.0,-1.6666666666666672,0.4
148,18.0,149.0,-1.6666666666666672,0.4
149,18.0,150.0,-1.6666666666666672,0.4
150,18.0,151.0,-1.6666666666666672,0.4
151,18.0,152.0,-1.6666666666666672,0.4
152,18.0,153.0,-1.6666666666666672,0.4
153,18.0,154.0,-1.6666666666666672,0.4
154,18.0,155.0,-1.6666666666666672,0.4
155,18.0,156.0,-1.6666666666666672,0.4
156,18.0,157.0,-1.6666666666666672,0.4
157,18.0,158.0,-1.6666666666666672,0.4
158,18.0,159.0,-1.6666666666666672,0.4
159,18.0,160.0,-1.6666666666666672,0.4
160,18.0,161.0,-1.6666666666666672,0.4
161,18.0,162.0,-1.6666666666666672,0.4
162,18.0,163.0,-1.6666666666666672,0.4
163,18.0,164.0,-1.6666666666666672,0.4
164,18.0,165.0,-1.6666666666666672,0.4
165,18.0,166.0,-1.6666666666666672,0.4
166,18.0,167.0,-1.6666666666666672,0.4
167,18.0,168.0,-1.6666666666666672,0.4
168,18.0,169.0,-1.6666666666666672,0.4
169,18.0,170.0,-1.6666666666666672,0.4
170,18.0,171.0,-1.6666666666666672,0.4
171,18.0,172.0,-1.6666666666666672,0.4
172,18.0,173.0,-1.6666666666666672,0.4
173,18.0,174.0,-1.6666666666666672,0.4
174,18.0,175.0,-1.6666666666666672,0.4
175,18.0,176.0,-1.6666666666666672,0.4
176,18.0,177.0,-1.6666666666666672,0.4
177,18.0,178.0,-1.6666666666666672,0.4
178,18.0,179.0,-1.6666666666666672,0.4
179,18.0,180.0,-1.6666666666666672,0.4
180,18.0,181.0,-1.6666666666666672,0.4
181,18.0,182.0,-1.6666666666666672,0.4
182,18.0,183.0,-1.6666666666666672,0.4
183,18.0,184.0,-1.6666666666666672,0.4
184,18.0,185.0,-1.6666666666666672,0.4
185,18.0,186.0,-1.6666666666666672,0.4
186,18.0,187.0,-1.6666666666666672,0.4
187,18.0,188.0,-1.6666666666666672,0.4
188,18.0,189.0,-1.6666666666666672,0.4
189,18.0,190.0,-1.6666666666666672,0.4
190,18.0,191.0,-1.6666666666666672,0.4
191,18.0,192.0,-1.6666666666666672,0.4
192,18.0,193.0,-1.6666666666666672,0.4
193,18.0,194.0,-1.6666666666666672,0.4
194,18.0,195.0,-1.6666666666666672,0.4
195,18.0,196.0,-1.6666666666666672,0.4
196,18.0,197.0,-1.6666666666666672,0.4
197,18.0,198.0,-1.6666666666666672,0.4
198,18.0,199.0,-1.6666666666666672,0.4
199,18.0,200.0,-1.6666666666666672,0.4
