,iterations,delta_max,delta_mean,span,gamma
0,0,5.0,2.124,5.0,0.4
1,1,4.0,0.766,4.0,0.4
2,2,4.0,0.122,4.0,0.4
3,3,3.0,0.152,3.0,0.4
4,4,4.0,0.166,4.0,0.4
5,5,4.0,0.176,4.0,0.4
6,6,4.0,0.218,4.0,0.4
7,7,4.0,0.244,4.0,0.4
8,8,3.0,0.192,3.0,0.4
9,9,4.0,0.128,4.0,0.4
10,10,3.0,0.12,3.0,0.4
11,11,3.0,0.13,3.0,0.4
12,12,3.0,0.09,3.0,0.4
13,13,3.0,0.074,3.0,0.4
14,14,3.0,0.032,3.0,0.4
15,15,1.0,0.004,1.0,0.4
16,16,0.0,0.0,0.0,0.4
