,episode,iteration,reward,gamma
0,47.0,1.0,-1.0,0.4
1,47.0,2.0,-1.4,0.4
2,47.0,3.0,-1.56,0.4
3,47.0,4.0,-1.624,0.4
4,47.0,5.0,-1.6496000000000002,0.4
5,47.0,6.0,-1.6598400000000002,0.4
6,47.0,7.0,-1.6639360000000003,0.4
7,47.0,8.0,-1.6655744000000003,0.4
8,47.0,9.0,-1.6662297600000004,0.4
9,47.0,10.0,-1.6664919040000004,0.4
10,47.0,11.0,-1.6665967616000004,0.4
11,47.0,12.0,-1.6666387046400004,0.4
12,47.0,13.0,-1.6666554818560004,0.4
13,47.0,14.0,-1.6666621927424004,0.4
14,47.0,15.0,-1.6666648770969603,0.4
15,47.0,16.0,-1.6666659508387842,0.4
16,47.0,17.0,-1.6666663803355137,0.4
17,47.0,18.0,-1.6666665521342057,0.4
18,47.0,19.0,-1.6666666208536824,0.4
19,47.0,20.0,-1.6666666483414732,0.4
20,47.0,21.0,-1.6666666593365895,0.4
21,47.0,22.0,-1.6666666637346361,0.4
22,47.0,23.0,-1.6666666654938547,0.4
23,47.0,24.0,-1.6666666661975422,0.4
24,47.0,25.0,-1.6666666664790173,0.4
25,47.0,26.0,-1.6666666665916072,0.4
26,47.0,27.0,-1.6666666666366432,0.4
27,47.0,28.0,-1.6666666666546577,0.4
28,47.0,29.0,-1.6666666666618635,0.4
29,47.0,30.0,-1.6666666666647458,0.4
30,47.0,31.0,-1.6666666666658987,0.4
31,47.0,32.0,-1.6666666666663599,0.4
32,47.0,33.0,-1.6666666666665444,0.4
33,47.0,34.0,-1.6666666666666181,0.4
34,47.0,35.0,-1.6666666666666476,0.4
35,47.0,36.0,-1.6666666666666594,0.4
36,47.0,37.0,-1.666666666666664,0.4
37,47.0,38.0,-1.666666666666666,0.4
38,47.0,39.0,-1.6666666666666667,0.4
39,47.0,40.0,-1.666666666666667,0.4
40,47.0,41.0,-1.6666666666666672,0.4
41,47.0,42.0,-1.6666666666666672,0.4
42,47.0,43.0,-1.6666666666666672,0.4
43,47.0,44.0,-1.6666666666666672,0.4
44,47.0,45.0,-1.6666666666666672,0.4
45,47.0,46.0,-1.6666666666666672,0.4
46,47.0,47.0,-1.6666666666666672,0.4
47,47.0,48.0,-1.6666666666666672,0.4
48,47.0,49.0,-1.6666666666666672,0.4
49,47.0,50.0,-1.6666666666666672,0.4
50,47.0,51.0,-1.6666666666666672,0.4
51,47.0,52.0,-1.6666666666666672,0.4
52,47.0,53.0,-1.6666666666666672,0.4
53,47.0,54.0,-1.6666666666666672,0.4
54,47.0,55.0,-1.6666666666666672,0.4
55,47.0,56.0,-1.6666666666666672,0.4
56,47.0,57.0,-1.6666666666666672,0.4
57,47.0,58.0,-1.6666666666666672,0.4
58,47.0,59.0,-1.6666666666666672,0.4
59,47.0,60.0,-1.6666666666666672,0.4
60,47.0,61.0,-1.6666666666666672,0.4
61,47.0,62.0,-1.6666666666666672,0.4
62,47.0,63.0,-1.6666666666666672,0.4
63,47.0,64.0,-1.6666666666666672,0.4
64,47.0,65.0,-1.6666666666666672,0.4
65,47.0,66.0,-1.6666666666666672,0.4
66,47.0,67.0,-1.6666666666666672,0.4
67,47.0,68.0,-1.6666666666666672,0.4
68,47.0,69.0,-1.6666666666666672,0.4
69,47.0,70.0,-1.6666666666666672,0.4
70,47.0,71.0,-1.6666666666666672,0.4
71,47.0,72.0,-1.6666666666666672,0.4
72,47.0,73.0,-1.6666666666666672,0.4
73,47.0,74.0,-1.6666666666666672,0.4
74,47.0,75.0,-1.6666666666666672,0.4
75,47.0,76.0,-1.6666666666666672,0.4
76,47.0,77.0,-1.6666666666666672,0.4
77,47.0,78.0,-1.6666666666666672,0.4
78,47.0,79.0,-1.6666666666666672,0.4
79,47.0,80.0,-1.6666666666666672,0.4
80,47.0,81.0,-1.6666666666666672,0.4
81,47.0,82.0,-1.6666666666666672,0.4
82,47.0,83.0,-1.6666666666666672,0.4
83,47.0,84.0,-1.6666666666666672,0.4
84,47.0,85.0,-1.6666666666666672,0.4
85,47.0,86.0,-1.6666666666666672,0.4
86,47.0,87.0,-1.6666666666666672,0.4
87,47.0,88.0,-1.6666666666666672,0.4
88,47.0,89.0,-1.6666666666666672,0.4
89,47.0,90.0,-1.6666666666666672,0.4
90,47.0,91.0,-1.6666666666666672,0.4
91,47.0,92.0,-1.6666666666666672,0.4
92,47.0,93.0,-1.6666666666666672,0.4
93,47.0,94.0,-1.6666666666666672,0.4
94,47.0,95.0,-1.6666666666666672,0.4
95,47.0,96.0,-1.6666666666666672,0.4
96,47.0,97.0,-1.6666666666666672,0.4
97,47.0,98.0,-1.6666666666666672,0.4
98,47.0,99.0,-1.6666666666666672,0.4
99,47.0,100.0,-1.6666666666666672,0.4
100,47.0,101.0,-1.6666666666666672,0.4
101,47.0,102.0,-1.6666666666666672,0.4
102,47.0,103.0,-1.6666666666666672,0.4
103,47.0,104.0,-1.6666666666666672,0.4
104,47.0,105.0,-1.6666666666666672,0.4
105,47.0,106.0,-1.6666666666666672,0.4
106,47.0,107.0,-1.6666666666666672,0.4
107,47.0,108.0,-1.6666666666666672,0.4
108,47.0,109.0,-1.6666666666666672,0.4
109,47.0,110.0,-1.6666666666666672,0.4
110,47.0,111.0,-1.6666666666666672,0.4
111,47.0,112.0,-1.6666666666666672,0.4
112,47.0,113.0,-1.6666666666666672,0.4
113,47.0,114.0,-1.6666666666666672,0.4
114,47.0,115.0,-1.6666666666666672,0.4
115,47.0,116.0,-1.6666666666666672,0.4
116,47.0,117.0,-1.6666666666666672,0.4
117,47.0,118.0,-1.6666666666666672,0.4
118,47.0,119.0,-1.6666666666666672,0.4
119,47.0,120.0,-1.6666666666666672,0.4
120,47.0,121.0,-1.6666666666666672,0.4
121,47.0,122.0,-1.6666666666666672,0.4
122,47.0,123.0,-1.6666666666666672,0.4
123,47.0,124.0,-1.6666666666666672,0.4
124,47.0,125.0,-1.6666666666666672,0.4
125,47.0,126.0,-1.6666666666666672,0.4
126,47.0,127.0,-1.6666666666666672,0.4
127,47.0,128.0,-1.6666666666666672,0.4
128,47.0,129.0,-1.6666666666666672,0.4
129,47.0,130.0,-1.6666666666666672,0.4
130,47.0,131.0,-1.6666666666666672,0.4
131,47.0,132.0,-1.6666666666666672,0.4
132,47.0,133.0,-1.6666666666666672,0.4
133,47.0,134.0,-1.6666666666666672,0.4
134,47.0,135.0,-1.6666666666666672,0.4
135,47.0,136.0,-1.6666666666666672,0.4
136,47.0,137.0,-1.6666666666666672,0.4
137,47.0,138.0,-1.6666666666666672,0.4
138,47.0,139.0,-1.6666666666666672,0.4
139,47.0,140.0,-1.6666666666666672,0.4
140,47.0,141.0,-1.6666666666666672,0.4
141,47.0,142.0,-1.6666666666666672,0.4
142,47.0,143.0,-1.6666666666666672,0.4
143,47.0,144.0,-1.6666666666666672,0.4
144,47.0,145.0,-1.6666666666666672,0.4
145,47.0,146.0,-1.6666666666666672,0.4
146,47.0,147.0,-1.6666666666666672,0.4
147,47.0,148.0,-1.6666666666666672,0.4
148,47.0,149.0,-1.6666666666666672,0.4
149,47.0,150.0,-1.6666666666666672,0.4
150,47.0,151.0,-1.6666666666666672,0.4
151,47.0,152.0,-1.6666666666666672,0.4
152,47.0,153.0,-1.6666666666666672,0.4
153,47.0,154.0,-1.6666666666666672,0.4
154,47.0,155.0,-1.6666666666666672,0.4
155,47.0,156.0,-1.6666666666666672,0.4
156,47.0,157.0,-1.6666666666666672,0.4
157,47.0,158.0,-1.6666666666666672,0.4
