,iterations,delta_max,delta_mean,span,gamma
0,0,5.0,2.074,5.0,0.8
1,1,4.0,0.718,4.0,0.8
2,2,4.0,0.106,4.0,0.8
3,3,3.0,0.106,3.0,0.8
4,4,4.0,0.11,4.0,0.8
5,5,4.0,0.112,4.0,0.8
6,6,4.0,0.144,4.0,0.8
7,7,4.0,0.268,4.0,0.8
8,8,4.0,0.244,4.0,0.8
9,9,4.0,0.164,4.0,0.8
10,10,3.0,0.21,3.0,0.8
11,11,3.0,0.142,3.0,0.8
12,12,3.0,0.084,3.0,0.8
13,13,3.0,0.09,3.0,0.8
14,14,3.0,0.05,3.0,0.8
15,15,2.0,0.016,2.0,0.8
16,16,1.0,0.002,1.0,0.8
17,17,0.0,0.0,0.0,0.8
