,iterations,delta_max,delta_mean,span,gamma
0,0,5.0,2.186,5.0,0.6
1,1,4.0,0.736,4.0,0.6
2,2,4.0,0.13,4.0,0.6
3,3,3.0,0.134,3.0,0.6
4,4,4.0,0.142,4.0,0.6
5,5,4.0,0.126,4.0,0.6
6,6,4.0,0.154,4.0,0.6
7,7,4.0,0.258,4.0,0.6
8,8,4.0,0.238,4.0,0.6
9,9,4.0,0.21,4.0,0.6
10,10,3.0,0.186,3.0,0.6
11,11,3.0,0.106,3.0,0.6
12,12,3.0,0.08,3.0,0.6
13,13,3.0,0.088,3.0,0.6
14,14,3.0,0.044,3.0,0.6
15,15,1.0,0.006,1.0,0.6
16,16,0.0,0.0,0.0,0.6
