,episode,iteration,reward,gamma
0,36.0,1.0,-1.0,0.4
1,36.0,2.0,-1.4,0.4
2,36.0,3.0,-1.56,0.4
3,36.0,4.0,-1.624,0.4
4,36.0,5.0,-1.6496000000000002,0.4
5,36.0,6.0,-1.6598400000000002,0.4
6,36.0,7.0,-1.6639360000000003,0.4
7,36.0,8.0,-1.6655744000000003,0.4
8,36.0,9.0,-1.6662297600000004,0.4
9,36.0,10.0,-1.6664919040000004,0.4
10,36.0,11.0,-1.6665967616000004,0.4
11,36.0,12.0,-1.6666387046400004,0.4
12,36.0,13.0,-1.6666554818560004,0.4
13,36.0,14.0,-1.6666621927424004,0.4
14,36.0,15.0,-1.6666648770969603,0.4
15,36.0,16.0,-1.6666659508387842,0.4
16,36.0,17.0,-1.6666663803355137,0.4
17,36.0,18.0,-1.6666665521342057,0.4
18,36.0,19.0,-1.6666666208536824,0.4
19,36.0,20.0,-1.6666666483414732,0.4
20,36.0,21.0,-1.6666666593365895,0.4
21,36.0,22.0,-1.6666666637346361,0.4
22,36.0,23.0,-1.6666666654938547,0.4
23,36.0,24.0,-1.6666666661975422,0.4
24,36.0,25.0,-1.6666666664790173,0.4
25,36.0,26.0,-1.6666666665916072,0.4
26,36.0,27.0,-1.6666666666366432,0.4
27,36.0,28.0,-1.6666666666546577,0.4
28,36.0,29.0,-1.6666666666618635,0.4
29,36.0,30.0,-1.6666666666647458,0.4
30,36.0,31.0,-1.6666666666658987,0.4
31,36.0,32.0,-1.6666666666663599,0.4
32,36.0,33.0,-1.6666666666665444,0.4
33,36.0,34.0,-1.6666666666666181,0.4
34,36.0,35.0,-1.6666666666666476,0.4
35,36.0,36.0,-1.6666666666666594,0.4
36,36.0,37.0,-1.666666666666664,0.4
37,36.0,38.0,-1.666666666666666,0.4
38,36.0,39.0,-1.6666666666666667,0.4
39,36.0,40.0,-1.666666666666667,0.4
40,36.0,41.0,-1.6666666666666672,0.4
41,36.0,42.0,-1.6666666666666672,0.4
42,36.0,43.0,-1.6666666666666672,0.4
43,36.0,44.0,-1.6666666666666672,0.4
44,36.0,45.0,-1.6666666666666672,0.4
45,36.0,46.0,-1.6666666666666672,0.4
46,36.0,47.0,-1.6666666666666672,0.4
47,36.0,48.0,-1.6666666666666672,0.4
48,36.0,49.0,-1.6666666666666672,0.4
49,36.0,50.0,-1.6666666666666672,0.4
50,36.0,51.0,-1.6666666666666672,0.4
51,36.0,52.0,-1.6666666666666672,0.4
52,36.0,53.0,-1.6666666666666672,0.4
53,36.0,54.0,-1.6666666666666672,0.4
54,36.0,55.0,-1.6666666666666672,0.4
55,36.0,56.0,-1.6666666666666672,0.4
56,36.0,57.0,-1.6666666666666672,0.4
57,36.0,58.0,-1.6666666666666672,0.4
58,36.0,59.0,-1.6666666666666672,0.4
59,36.0,60.0,-1.6666666666666672,0.4
60,36.0,61.0,-1.6666666666666672,0.4
61,36.0,62.0,-1.6666666666666672,0.4
62,36.0,63.0,-1.6666666666666672,0.4
63,36.0,64.0,-1.6666666666666672,0.4
64,36.0,65.0,-1.6666666666666672,0.4
65,36.0,66.0,-1.6666666666666672,0.4
66,36.0,67.0,-1.6666666666666672,0.4
67,36.0,68.0,-1.6666666666666672,0.4
68,36.0,69.0,-1.6666666666666672,0.4
69,36.0,70.0,-1.6666666666666672,0.4
70,36.0,71.0,-1.6666666666666672,0.4
71,36.0,72.0,-1.6666666666666672,0.4
72,36.0,73.0,-1.6666666666666672,0.4
73,36.0,74.0,-1.6666666666666672,0.4
74,36.0,75.0,-1.6666666666666672,0.4
75,36.0,76.0,-1.6666666666666672,0.4
76,36.0,77.0,-1.6666666666666672,0.4
77,36.0,78.0,-1.6666666666666672,0.4
78,36.0,79.0,-1.6666666666666672,0.4
79,36.0,80.0,-1.6666666666666672,0.4
80,36.0,81.0,-1.6666666666666672,0.4
81,36.0,82.0,-1.6666666666666672,0.4
82,36.0,83.0,-1.6666666666666672,0.4
83,36.0,84.0,-1.6666666666666672,0.4
84,36.0,85.0,-1.6666666666666672,0.4
85,36.0,86.0,-1.6666666666666672,0.4
86,36.0,87.0,-1.6666666666666672,0.4
87,36.0,88.0,-1.6666666666666672,0.4
88,36.0,89.0,-1.6666666666666672,0.4
89,36.0,90.0,-1.6666666666666672,0.4
90,36.0,91.0,-1.6666666666666672,0.4
91,36.0,92.0,-1.6666666666666672,0.4
92,36.0,93.0,-1.6666666666666672,0.4
93,36.0,94.0,-1.6666666666666672,0.4
94,36.0,95.0,-1.6666666666666672,0.4
95,36.0,96.0,-1.6666666666666672,0.4
96,36.0,97.0,-1.6666666666666672,0.4
97,36.0,98.0,-1.6666666666666672,0.4
98,36.0,99.0,-1.6666666666666672,0.4
99,36.0,100.0,-1.6666666666666672,0.4
100,36.0,101.0,-1.6666666666666672,0.4
101,36.0,102.0,-1.6666666666666672,0.4
102,36.0,103.0,-1.6666666666666672,0.4
103,36.0,104.0,-1.6666666666666672,0.4
104,36.0,105.0,-1.6666666666666672,0.4
105,36.0,106.0,-1.6666666666666672,0.4
106,36.0,107.0,-1.6666666666666672,0.4
107,36.0,108.0,-1.6666666666666672,0.4
108,36.0,109.0,-1.6666666666666672,0.4
109,36.0,110.0,-1.6666666666666672,0.4
110,36.0,111.0,-1.6666666666666672,0.4
111,36.0,112.0,-1.6666666666666672,0.4
112,36.0,113.0,-1.6666666666666672,0.4
113,36.0,114.0,-1.6666666666666672,0.4
114,36.0,115.0,-1.6666666666666672,0.4
115,36.0,116.0,-1.6666666666666672,0.4
116,36.0,117.0,-1.6666666666666672,0.4
117,36.0,118.0,-1.6666666666666672,0.4
118,36.0,119.0,-1.6666666666666672,0.4
119,36.0,120.0,-1.6666666666666672,0.4
120,36.0,121.0,-1.6666666666666672,0.4
121,36.0,122.0,-1.6666666666666672,0.4
122,36.0,123.0,-1.6666666666666672,0.4
123,36.0,124.0,-1.6666666666666672,0.4
124,36.0,125.0,-1.6666666666666672,0.4
125,36.0,126.0,-1.6666666666666672,0.4
126,36.0,127.0,-1.6666666666666672,0.4
127,36.0,128.0,-1.6666666666666672,0.4
128,36.0,129.0,-1.6666666666666672,0.4
129,36.0,130.0,-1.6666666666666672,0.4
130,36.0,131.0,-1.6666666666666672,0.4
131,36.0,132.0,-1.6666666666666672,0.4
132,36.0,133.0,-1.6666666666666672,0.4
133,36.0,134.0,-1.6666666666666672,0.4
134,36.0,135.0,-1.6666666666666672,0.4
135,36.0,136.0,-1.6666666666666672,0.4
136,36.0,137.0,-1.6666666666666672,0.4
137,36.0,138.0,-1.6666666666666672,0.4
138,36.0,139.0,-1.6666666666666672,0.4
139,36.0,140.0,-1.6666666666666672,0.4
140,36.0,141.0,-1.6666666666666672,0.4
