,episode,iteration,reward,gamma
0,50.0,1.0,-1.0,0.4
1,50.0,2.0,-1.4,0.4
2,50.0,3.0,-1.56,0.4
3,50.0,4.0,-1.624,0.4
4,50.0,5.0,-1.6496000000000002,0.4
5,50.0,6.0,-1.6598400000000002,0.4
6,50.0,7.0,-1.6639360000000003,0.4
7,50.0,8.0,-1.6655744000000003,0.4
8,50.0,9.0,-1.6662297600000004,0.4
9,50.0,10.0,-1.6664919040000004,0.4
10,50.0,11.0,-1.6665967616000004,0.4
11,50.0,12.0,-1.6666387046400004,0.4
12,50.0,13.0,-1.6666554818560004,0.4
13,50.0,14.0,-1.6666621927424004,0.4
14,50.0,15.0,-1.6666648770969603,0.4
15,50.0,16.0,-1.6666659508387842,0.4
16,50.0,17.0,-1.6666663803355137,0.4
17,50.0,18.0,-1.6666665521342057,0.4
18,50.0,19.0,-1.6666666208536824,0.4
19,50.0,20.0,-1.6666666483414732,0.4
20,50.0,21.0,-1.6666666593365895,0.4
21,50.0,22.0,-1.6666666637346361,0.4
22,50.0,23.0,-1.6666666654938547,0.4
23,50.0,24.0,-1.6666666661975422,0.4
24,50.0,25.0,-1.6666666664790173,0.4
25,50.0,26.0,-1.6666666665916072,0.4
26,50.0,27.0,-1.6666666666366432,0.4
27,50.0,28.0,-1.6666666666546577,0.4
28,50.0,29.0,-1.6666666666618635,0.4
29,50.0,30.0,-1.6666666666647458,0.4
30,50.0,31.0,-1.6666666666658987,0.4
31,50.0,32.0,-1.6666666666663599,0.4
32,50.0,33.0,-1.6666666666665444,0.4
33,50.0,34.0,-1.6666666666666181,0.4
34,50.0,35.0,-1.6666666666666476,0.4
35,50.0,36.0,-1.6666666666666594,0.4
36,50.0,37.0,-1.666666666666664,0.4
37,50.0,38.0,-1.666666666666666,0.4
38,50.0,39.0,-1.6666666666666667,0.4
39,50.0,40.0,-1.666666666666667,0.4
40,50.0,41.0,-1.6666666666666672,0.4
41,50.0,42.0,-1.6666666666666672,0.4
42,50.0,43.0,-1.6666666666666672,0.4
43,50.0,44.0,-1.6666666666666672,0.4
44,50.0,45.0,-1.6666666666666672,0.4
45,50.0,46.0,-1.6666666666666672,0.4
46,50.0,47.0,-1.6666666666666672,0.4
47,50.0,48.0,-1.6666666666666672,0.4
48,50.0,49.0,-1.6666666666666672,0.4
49,50.0,50.0,-1.6666666666666672,0.4
50,50.0,51.0,-1.6666666666666672,0.4
51,50.0,52.0,-1.6666666666666672,0.4
52,50.0,53.0,-1.6666666666666672,0.4
53,50.0,54.0,-1.6666666666666672,0.4
54,50.0,55.0,-1.6666666666666672,0.4
55,50.0,56.0,-1.6666666666666672,0.4
56,50.0,57.0,-1.6666666666666672,0.4
57,50.0,58.0,-1.6666666666666672,0.4
58,50.0,59.0,-1.6666666666666672,0.4
59,50.0,60.0,-1.6666666666666672,0.4
60,50.0,61.0,-1.6666666666666672,0.4
61,50.0,62.0,-1.6666666666666672,0.4
62,50.0,63.0,-1.6666666666666672,0.4
63,50.0,64.0,-1.6666666666666672,0.4
64,50.0,65.0,-1.6666666666666672,0.4
65,50.0,66.0,-1.6666666666666672,0.4
66,50.0,67.0,-1.6666666666666672,0.4
67,50.0,68.0,-1.6666666666666672,0.4
68,50.0,69.0,-1.6666666666666672,0.4
69,50.0,70.0,-1.6666666666666672,0.4
70,50.0,71.0,-1.6666666666666672,0.4
71,50.0,72.0,-1.6666666666666672,0.4
72,50.0,73.0,-1.6666666666666672,0.4
73,50.0,74.0,-1.6666666666666672,0.4
74,50.0,75.0,-1.6666666666666672,0.4
75,50.0,76.0,-1.6666666666666672,0.4
76,50.0,77.0,-1.6666666666666672,0.4
77,50.0,78.0,-1.6666666666666672,0.4
78,50.0,79.0,-1.6666666666666672,0.4
79,50.0,80.0,-1.6666666666666672,0.4
80,50.0,81.0,-1.6666666666666672,0.4
81,50.0,82.0,-1.6666666666666672,0.4
82,50.0,83.0,-1.6666666666666672,0.4
83,50.0,84.0,-1.6666666666666672,0.4
84,50.0,85.0,-1.6666666666666672,0.4
85,50.0,86.0,-1.6666666666666672,0.4
86,50.0,87.0,-1.6666666666666672,0.4
87,50.0,88.0,-1.6666666666666672,0.4
88,50.0,89.0,-1.6666666666666672,0.4
89,50.0,90.0,-1.6666666666666672,0.4
90,50.0,91.0,-1.6666666666666672,0.4
91,50.0,92.0,-1.6666666666666672,0.4
92,50.0,93.0,-1.6666666666666672,0.4
93,50.0,94.0,-1.6666666666666672,0.4
94,50.0,95.0,-1.6666666666666672,0.4
95,50.0,96.0,-1.6666666666666672,0.4
96,50.0,97.0,-1.6666666666666672,0.4
97,50.0,98.0,-1.6666666666666672,0.4
98,50.0,99.0,-1.6666666666666672,0.4
99,50.0,100.0,-1.6666666666666672,0.4
100,50.0,101.0,-1.6666666666666672,0.4
101,50.0,102.0,-1.6666666666666672,0.4
102,50.0,103.0,-1.6666666666666672,0.4
103,50.0,104.0,-1.6666666666666672,0.4
104,50.0,105.0,-1.6666666666666672,0.4
105,50.0,106.0,-1.6666666666666672,0.4
106,50.0,107.0,-1.6666666666666672,0.4
107,50.0,108.0,-1.6666666666666672,0.4
108,50.0,109.0,-1.6666666666666672,0.4
109,50.0,110.0,-1.6666666666666672,0.4
110,50.0,111.0,-1.6666666666666672,0.4
111,50.0,112.0,-1.6666666666666672,0.4
112,50.0,113.0,-1.6666666666666672,0.4
113,50.0,114.0,-1.6666666666666672,0.4
114,50.0,115.0,-1.6666666666666672,0.4
115,50.0,116.0,-1.6666666666666672,0.4
116,50.0,117.0,-1.6666666666666672,0.4
117,50.0,118.0,-1.6666666666666672,0.4
118,50.0,119.0,-1.6666666666666672,0.4
119,50.0,120.0,-1.6666666666666672,0.4
120,50.0,121.0,-1.6666666666666672,0.4
121,50.0,122.0,-1.6666666666666672,0.4
122,50.0,123.0,-1.6666666666666672,0.4
123,50.0,124.0,-1.6666666666666672,0.4
124,50.0,125.0,-1.6666666666666672,0.4
125,50.0,126.0,-1.6666666666666672,0.4
126,50.0,127.0,-1.6666666666666672,0.4
127,50.0,128.0,-1.6666666666666672,0.4
128,50.0,129.0,-1.6666666666666672,0.4
129,50.0,130.0,-1.6666666666666672,0.4
130,50.0,131.0,-1.6666666666666672,0.4
131,50.0,132.0,-1.6666666666666672,0.4
132,50.0,133.0,-1.6666666666666672,0.4
133,50.0,134.0,-1.6666666666666672,0.4
134,50.0,135.0,-1.6666666666666672,0.4
135,50.0,136.0,-1.6666666666666672,0.4
136,50.0,137.0,-1.6666666666666672,0.4
137,50.0,138.0,-1.6666666666666672,0.4
138,50.0,139.0,-1.6666666666666672,0.4
139,50.0,140.0,-1.6666666666666672,0.4
140,50.0,141.0,-1.6666666666666672,0.4
141,50.0,142.0,-1.6666666666666672,0.4
142,50.0,143.0,-1.6666666666666672,0.4
143,50.0,144.0,-1.6666666666666672,0.4
144,50.0,145.0,-1.6666666666666672,0.4
145,50.0,146.0,-1.6666666666666672,0.4
146,50.0,147.0,-1.6666666666666672,0.4
147,50.0,148.0,-1.6666666666666672,0.4
148,50.0,149.0,-1.6666666666666672,0.4
149,50.0,150.0,-1.6666666666666672,0.4
150,50.0,151.0,-1.6666666666666672,0.4
151,50.0,152.0,-1.6666666666666672,0.4
152,50.0,153.0,-1.6666666666666672,0.4
153,50.0,154.0,-1.6666666666666672,0.4
154,50.0,155.0,-1.6666666666666672,0.4
155,50.0,156.0,-1.6666666666666672,0.4
156,50.0,157.0,-1.6666666666666672,0.4
157,50.0,158.0,-1.6666666666666672,0.4
158,50.0,159.0,-1.6666666666666672,0.4
159,50.0,160.0,-1.6666666666666672,0.4
160,50.0,161.0,-1.6666666666666672,0.4
161,50.0,162.0,-1.6666666666666672,0.4
162,50.0,163.0,-1.6666666666666672,0.4
163,50.0,164.0,-1.6666666666666672,0.4
164,50.0,165.0,-1.6666666666666672,0.4
165,50.0,166.0,-1.6666666666666672,0.4
166,50.0,167.0,-1.6666666666666672,0.4
167,50.0,168.0,-1.6666666666666672,0.4
168,50.0,169.0,-1.6666666666666672,0.4
169,50.0,170.0,-1.6666666666666672,0.4
170,50.0,171.0,-1.6666666666666672,0.4
171,50.0,172.0,-1.6666666666666672,0.4
172,50.0,173.0,-1.6666666666666672,0.4
173,50.0,174.0,-1.6666666666666672,0.4
174,50.0,175.0,-1.6666666666666672,0.4
175,50.0,176.0,-1.6666666666666672,0.4
176,50.0,177.0,-1.6666666666666672,0.4
177,50.0,178.0,-1.6666666666666672,0.4
178,50.0,179.0,-1.6666666666666672,0.4
179,50.0,180.0,-1.6666666666666672,0.4
180,50.0,181.0,-1.6666666666666672,0.4
181,50.0,182.0,-1.6666666666666672,0.4
182,50.0,183.0,-1.6666666666666672,0.4
183,50.0,184.0,-1.6666666666666672,0.4
184,50.0,185.0,-1.6666666666666672,0.4
185,50.0,186.0,-1.6666666666666672,0.4
186,50.0,187.0,-1.6666666666666672,0.4
187,50.0,188.0,-1.6666666666666672,0.4
188,50.0,189.0,-1.6666666666666672,0.4
189,50.0,190.0,-1.6666666666666672,0.4
190,50.0,191.0,-1.6666666666666672,0.4
191,50.0,192.0,-1.6666666666666672,0.4
192,50.0,193.0,-1.6666666666666672,0.4
193,50.0,194.0,-1.6666666666666672,0.4
194,50.0,195.0,-1.6666666666666672,0.4
195,50.0,196.0,-1.6666666666666672,0.4
196,50.0,197.0,-1.6666666666666672,0.4
197,50.0,198.0,-1.6666666666666672,0.4
198,50.0,199.0,-1.6666666666666672,0.4
199,50.0,200.0,-1.6666666666666672,0.4
