,episode,iteration,reward,gamma
0,38.0,1.0,-1.0,0.7
1,38.0,2.0,-1.7,0.7
2,38.0,3.0,-2.19,0.7
3,38.0,4.0,-2.533,0.7
4,38.0,5.0,-2.7731,0.7
5,38.0,6.0,-2.9411699999999996,0.7
6,38.0,7.0,-3.0588189999999997,0.7
7,38.0,8.0,-3.1411732999999997,0.7
8,38.0,9.0,-3.1988213099999996,0.7
9,38.0,10.0,-3.2391749169999997,0.7
10,38.0,11.0,-3.2674224418999995,0.7
11,38.0,12.0,-3.2871957093299997,0.7
12,38.0,13.0,-3.301036996531,0.7
13,38.0,14.0,-3.3107258975716998,0.7
14,38.0,15.0,-3.3175081283001897,0.7
15,38.0,16.0,-3.3222556898101328,0.7
16,38.0,17.0,-3.255789828670931,0.7
