,iterations,delta_max,delta_mean,span,gamma
0,0,5.0,2.136,5.0,0.5
1,1,5.0,0.77,5.0,0.5
2,2,4.0,0.14,4.0,0.5
3,3,3.0,0.128,3.0,0.5
4,4,3.0,0.116,3.0,0.5
5,5,4.0,0.182,4.0,0.5
6,6,4.0,0.22,4.0,0.5
7,7,4.0,0.198,4.0,0.5
8,8,4.0,0.206,4.0,0.5
9,9,3.0,0.222,3.0,0.5
10,10,3.0,0.162,3.0,0.5
11,11,3.0,0.156,3.0,0.5
12,12,3.0,0.138,3.0,0.5
13,13,3.0,0.066,3.0,0.5
14,14,2.0,0.018,2.0,0.5
15,15,1.0,0.002,1.0,0.5
16,16,0.0,0.0,0.0,0.5
