,episode,iteration,reward,gamma
0,74.0,1.0,-1.0,0.4
1,74.0,2.0,-1.4,0.4
2,74.0,3.0,-1.56,0.4
3,74.0,4.0,-1.624,0.4
4,74.0,5.0,-1.6496000000000002,0.4
5,74.0,6.0,-1.6598400000000002,0.4
6,74.0,7.0,-1.6639360000000003,0.4
7,74.0,8.0,-1.6655744000000003,0.4
8,74.0,9.0,-1.6662297600000004,0.4
9,74.0,10.0,-1.6664919040000004,0.4
10,74.0,11.0,-1.6665967616000004,0.4
11,74.0,12.0,-1.6666387046400004,0.4
12,74.0,13.0,-1.6666554818560004,0.4
13,74.0,14.0,-1.6666621927424004,0.4
14,74.0,15.0,-1.6666648770969603,0.4
15,74.0,16.0,-1.6666659508387842,0.4
16,74.0,17.0,-1.6666663803355137,0.4
17,74.0,18.0,-1.6666665521342057,0.4
18,74.0,19.0,-1.6666666208536824,0.4
19,74.0,20.0,-1.6666666483414732,0.4
20,74.0,21.0,-1.6666666593365895,0.4
21,74.0,22.0,-1.6666666637346361,0.4
22,74.0,23.0,-1.6666666654938547,0.4
23,74.0,24.0,-1.6666666661975422,0.4
24,74.0,25.0,-1.6666666664790173,0.4
25,74.0,26.0,-1.6666666665916072,0.4
26,74.0,27.0,-1.6666666666366432,0.4
27,74.0,28.0,-1.6666666666546577,0.4
28,74.0,29.0,-1.6666666666618635,0.4
29,74.0,30.0,-1.6666666666647458,0.4
30,74.0,31.0,-1.6666666666658987,0.4
31,74.0,32.0,-1.6666666666663599,0.4
32,74.0,33.0,-1.6666666666665444,0.4
33,74.0,34.0,-1.6666666666666181,0.4
34,74.0,35.0,-1.6666666666666476,0.4
35,74.0,36.0,-1.6666666666666594,0.4
36,74.0,37.0,-1.666666666666664,0.4
37,74.0,38.0,-1.666666666666666,0.4
38,74.0,39.0,-1.6666666666666667,0.4
39,74.0,40.0,-1.666666666666667,0.4
40,74.0,41.0,-1.6666666666666672,0.4
41,74.0,42.0,-1.6666666666666672,0.4
42,74.0,43.0,-1.6666666666666672,0.4
43,74.0,44.0,-1.6666666666666672,0.4
44,74.0,45.0,-1.6666666666666672,0.4
45,74.0,46.0,-1.6666666666666672,0.4
46,74.0,47.0,-1.6666666666666672,0.4
47,74.0,48.0,-1.6666666666666672,0.4
48,74.0,49.0,-1.6666666666666672,0.4
49,74.0,50.0,-1.6666666666666672,0.4
50,74.0,51.0,-1.6666666666666672,0.4
51,74.0,52.0,-1.6666666666666672,0.4
52,74.0,53.0,-1.6666666666666672,0.4
53,74.0,54.0,-1.6666666666666672,0.4
54,74.0,55.0,-1.6666666666666672,0.4
55,74.0,56.0,-1.6666666666666672,0.4
56,74.0,57.0,-1.6666666666666672,0.4
57,74.0,58.0,-1.6666666666666672,0.4
58,74.0,59.0,-1.6666666666666672,0.4
59,74.0,60.0,-1.6666666666666672,0.4
60,74.0,61.0,-1.6666666666666672,0.4
61,74.0,62.0,-1.6666666666666672,0.4
62,74.0,63.0,-1.6666666666666672,0.4
63,74.0,64.0,-1.6666666666666672,0.4
64,74.0,65.0,-1.6666666666666672,0.4
65,74.0,66.0,-1.6666666666666672,0.4
66,74.0,67.0,-1.6666666666666672,0.4
67,74.0,68.0,-1.6666666666666672,0.4
68,74.0,69.0,-1.6666666666666672,0.4
69,74.0,70.0,-1.6666666666666672,0.4
70,74.0,71.0,-1.6666666666666672,0.4
71,74.0,72.0,-1.6666666666666672,0.4
72,74.0,73.0,-1.6666666666666672,0.4
73,74.0,74.0,-1.6666666666666672,0.4
74,74.0,75.0,-1.6666666666666672,0.4
75,74.0,76.0,-1.6666666666666672,0.4
76,74.0,77.0,-1.6666666666666672,0.4
77,74.0,78.0,-1.6666666666666672,0.4
78,74.0,79.0,-1.6666666666666672,0.4
79,74.0,80.0,-1.6666666666666672,0.4
80,74.0,81.0,-1.6666666666666672,0.4
81,74.0,82.0,-1.6666666666666672,0.4
82,74.0,83.0,-1.6666666666666672,0.4
83,74.0,84.0,-1.6666666666666672,0.4
84,74.0,85.0,-1.6666666666666672,0.4
85,74.0,86.0,-1.6666666666666672,0.4
86,74.0,87.0,-1.6666666666666672,0.4
87,74.0,88.0,-1.6666666666666672,0.4
88,74.0,89.0,-1.6666666666666672,0.4
89,74.0,90.0,-1.6666666666666672,0.4
90,74.0,91.0,-1.6666666666666672,0.4
91,74.0,92.0,-1.6666666666666672,0.4
92,74.0,93.0,-1.6666666666666672,0.4
93,74.0,94.0,-1.6666666666666672,0.4
94,74.0,95.0,-1.6666666666666672,0.4
95,74.0,96.0,-1.6666666666666672,0.4
96,74.0,97.0,-1.6666666666666672,0.4
