,episode,iteration,reward,gamma
0,45.0,1.0,-1.0,0.4
1,45.0,2.0,-1.4,0.4
2,45.0,3.0,-1.56,0.4
3,45.0,4.0,-1.624,0.4
4,45.0,5.0,-1.6496000000000002,0.4
5,45.0,6.0,-1.6598400000000002,0.4
6,45.0,7.0,-1.6639360000000003,0.4
7,45.0,8.0,-1.6655744000000003,0.4
8,45.0,9.0,-1.6662297600000004,0.4
9,45.0,10.0,-1.6664919040000004,0.4
10,45.0,11.0,-1.6665967616000004,0.4
11,45.0,12.0,-1.6666387046400004,0.4
12,45.0,13.0,-1.6666554818560004,0.4
13,45.0,14.0,-1.6666621927424004,0.4
14,45.0,15.0,-1.6666648770969603,0.4
15,45.0,16.0,-1.6666659508387842,0.4
16,45.0,17.0,-1.6666663803355137,0.4
17,45.0,18.0,-1.6666665521342057,0.4
18,45.0,19.0,-1.6666666208536824,0.4
19,45.0,20.0,-1.6666666483414732,0.4
20,45.0,21.0,-1.6666666593365895,0.4
21,45.0,22.0,-1.6666666637346361,0.4
22,45.0,23.0,-1.6666666654938547,0.4
23,45.0,24.0,-1.6666666661975422,0.4
24,45.0,25.0,-1.6666666664790173,0.4
25,45.0,26.0,-1.6666666665916072,0.4
26,45.0,27.0,-1.6666666666366432,0.4
27,45.0,28.0,-1.6666666666546577,0.4
28,45.0,29.0,-1.6666666666618635,0.4
29,45.0,30.0,-1.6666666666647458,0.4
30,45.0,31.0,-1.6666666666658987,0.4
31,45.0,32.0,-1.6666666666663599,0.4
32,45.0,33.0,-1.6666666666665444,0.4
33,45.0,34.0,-1.6666666666666181,0.4
34,45.0,35.0,-1.6666666666666476,0.4
35,45.0,36.0,-1.6666666666666594,0.4
36,45.0,37.0,-1.666666666666664,0.4
37,45.0,38.0,-1.666666666666666,0.4
38,45.0,39.0,-1.6666666666666667,0.4
39,45.0,40.0,-1.666666666666667,0.4
40,45.0,41.0,-1.6666666666666672,0.4
41,45.0,42.0,-1.6666666666666672,0.4
42,45.0,43.0,-1.6666666666666672,0.4
43,45.0,44.0,-1.6666666666666672,0.4
44,45.0,45.0,-1.6666666666666672,0.4
45,45.0,46.0,-1.6666666666666672,0.4
46,45.0,47.0,-1.6666666666666672,0.4
47,45.0,48.0,-1.6666666666666672,0.4
48,45.0,49.0,-1.6666666666666672,0.4
49,45.0,50.0,-1.6666666666666672,0.4
50,45.0,51.0,-1.6666666666666672,0.4
51,45.0,52.0,-1.6666666666666672,0.4
52,45.0,53.0,-1.6666666666666672,0.4
53,45.0,54.0,-1.6666666666666672,0.4
54,45.0,55.0,-1.6666666666666672,0.4
55,45.0,56.0,-1.6666666666666672,0.4
56,45.0,57.0,-1.6666666666666672,0.4
57,45.0,58.0,-1.6666666666666672,0.4
58,45.0,59.0,-1.6666666666666672,0.4
59,45.0,60.0,-1.6666666666666672,0.4
60,45.0,61.0,-1.6666666666666672,0.4
61,45.0,62.0,-1.6666666666666672,0.4
62,45.0,63.0,-1.6666666666666672,0.4
63,45.0,64.0,-1.6666666666666672,0.4
64,45.0,65.0,-1.6666666666666672,0.4
65,45.0,66.0,-1.6666666666666672,0.4
66,45.0,67.0,-1.6666666666666672,0.4
67,45.0,68.0,-1.6666666666666672,0.4
68,45.0,69.0,-1.6666666666666672,0.4
69,45.0,70.0,-1.6666666666666672,0.4
70,45.0,71.0,-1.6666666666666672,0.4
71,45.0,72.0,-1.6666666666666672,0.4
72,45.0,73.0,-1.6666666666666672,0.4
73,45.0,74.0,-1.6666666666666672,0.4
74,45.0,75.0,-1.6666666666666672,0.4
75,45.0,76.0,-1.6666666666666672,0.4
76,45.0,77.0,-1.6666666666666672,0.4
77,45.0,78.0,-1.6666666666666672,0.4
78,45.0,79.0,-1.6666666666666672,0.4
79,45.0,80.0,-1.6666666666666672,0.4
80,45.0,81.0,-1.6666666666666672,0.4
81,45.0,82.0,-1.6666666666666672,0.4
82,45.0,83.0,-1.6666666666666672,0.4
83,45.0,84.0,-1.6666666666666672,0.4
84,45.0,85.0,-1.6666666666666672,0.4
85,45.0,86.0,-1.6666666666666672,0.4
86,45.0,87.0,-1.6666666666666672,0.4
87,45.0,88.0,-1.6666666666666672,0.4
88,45.0,89.0,-1.6666666666666672,0.4
89,45.0,90.0,-1.6666666666666672,0.4
90,45.0,91.0,-1.6666666666666672,0.4
91,45.0,92.0,-1.6666666666666672,0.4
92,45.0,93.0,-1.6666666666666672,0.4
93,45.0,94.0,-1.6666666666666672,0.4
94,45.0,95.0,-1.6666666666666672,0.4
95,45.0,96.0,-1.6666666666666672,0.4
96,45.0,97.0,-1.6666666666666672,0.4
97,45.0,98.0,-1.6666666666666672,0.4
98,45.0,99.0,-1.6666666666666672,0.4
99,45.0,100.0,-1.6666666666666672,0.4
100,45.0,101.0,-1.6666666666666672,0.4
101,45.0,102.0,-1.6666666666666672,0.4
102,45.0,103.0,-1.6666666666666672,0.4
103,45.0,104.0,-1.6666666666666672,0.4
104,45.0,105.0,-1.6666666666666672,0.4
105,45.0,106.0,-1.6666666666666672,0.4
106,45.0,107.0,-1.6666666666666672,0.4
107,45.0,108.0,-1.6666666666666672,0.4
108,45.0,109.0,-1.6666666666666672,0.4
109,45.0,110.0,-1.6666666666666672,0.4
110,45.0,111.0,-1.6666666666666672,0.4
111,45.0,112.0,-1.6666666666666672,0.4
112,45.0,113.0,-1.6666666666666672,0.4
113,45.0,114.0,-1.6666666666666672,0.4
114,45.0,115.0,-1.6666666666666672,0.4
115,45.0,116.0,-1.6666666666666672,0.4
116,45.0,117.0,-1.6666666666666672,0.4
117,45.0,118.0,-1.6666666666666672,0.4
118,45.0,119.0,-1.6666666666666672,0.4
119,45.0,120.0,-1.6666666666666672,0.4
120,45.0,121.0,-1.6666666666666672,0.4
121,45.0,122.0,-1.6666666666666672,0.4
122,45.0,123.0,-1.6666666666666672,0.4
123,45.0,124.0,-1.6666666666666672,0.4
124,45.0,125.0,-1.6666666666666672,0.4
125,45.0,126.0,-1.6666666666666672,0.4
126,45.0,127.0,-1.6666666666666672,0.4
127,45.0,128.0,-1.6666666666666672,0.4
128,45.0,129.0,-1.6666666666666672,0.4
129,45.0,130.0,-1.6666666666666672,0.4
130,45.0,131.0,-1.6666666666666672,0.4
131,45.0,132.0,-1.6666666666666672,0.4
132,45.0,133.0,-1.6666666666666672,0.4
133,45.0,134.0,-1.6666666666666672,0.4
134,45.0,135.0,-1.6666666666666672,0.4
135,45.0,136.0,-1.6666666666666672,0.4
136,45.0,137.0,-1.6666666666666672,0.4
137,45.0,138.0,-1.6666666666666672,0.4
138,45.0,139.0,-1.6666666666666672,0.4
139,45.0,140.0,-1.6666666666666672,0.4
140,45.0,141.0,-1.6666666666666672,0.4
141,45.0,142.0,-1.6666666666666672,0.4
142,45.0,143.0,-1.6666666666666672,0.4
143,45.0,144.0,-1.6666666666666672,0.4
144,45.0,145.0,-1.6666666666666672,0.4
145,45.0,146.0,-1.6666666666666672,0.4
146,45.0,147.0,-1.6666666666666672,0.4
147,45.0,148.0,-1.6666666666666672,0.4
148,45.0,149.0,-1.6666666666666672,0.4
149,45.0,150.0,-1.6666666666666672,0.4
150,45.0,151.0,-1.6666666666666672,0.4
151,45.0,152.0,-1.6666666666666672,0.4
152,45.0,153.0,-1.6666666666666672,0.4
153,45.0,154.0,-1.6666666666666672,0.4
154,45.0,155.0,-1.6666666666666672,0.4
155,45.0,156.0,-1.6666666666666672,0.4
156,45.0,157.0,-1.6666666666666672,0.4
157,45.0,158.0,-1.6666666666666672,0.4
158,45.0,159.0,-1.6666666666666672,0.4
159,45.0,160.0,-1.6666666666666672,0.4
160,45.0,161.0,-1.6666666666666672,0.4
161,45.0,162.0,-1.6666666666666672,0.4
162,45.0,163.0,-1.6666666666666672,0.4
163,45.0,164.0,-1.6666666666666672,0.4
164,45.0,165.0,-1.6666666666666672,0.4
165,45.0,166.0,-1.6666666666666672,0.4
166,45.0,167.0,-1.6666666666666672,0.4
167,45.0,168.0,-1.6666666666666672,0.4
168,45.0,169.0,-1.6666666666666672,0.4
169,45.0,170.0,-1.6666666666666672,0.4
170,45.0,171.0,-1.6666666666666672,0.4
171,45.0,172.0,-1.6666666666666672,0.4
172,45.0,173.0,-1.6666666666666672,0.4
173,45.0,174.0,-1.6666666666666672,0.4
174,45.0,175.0,-1.6666666666666672,0.4
175,45.0,176.0,-1.6666666666666672,0.4
176,45.0,177.0,-1.6666666666666672,0.4
177,45.0,178.0,-1.6666666666666672,0.4
178,45.0,179.0,-1.6666666666666672,0.4
179,45.0,180.0,-1.6666666666666672,0.4
180,45.0,181.0,-1.6666666666666672,0.4
181,45.0,182.0,-1.6666666666666672,0.4
182,45.0,183.0,-1.6666666666666672,0.4
183,45.0,184.0,-1.6666666666666672,0.4
184,45.0,185.0,-1.6666666666666672,0.4
185,45.0,186.0,-1.6666666666666672,0.4
186,45.0,187.0,-1.6666666666666672,0.4
187,45.0,188.0,-1.6666666666666672,0.4
188,45.0,189.0,-1.6666666666666672,0.4
189,45.0,190.0,-1.6666666666666672,0.4
190,45.0,191.0,-1.6666666666666672,0.4
191,45.0,192.0,-1.6666666666666672,0.4
192,45.0,193.0,-1.6666666666666672,0.4
193,45.0,194.0,-1.6666666666666672,0.4
194,45.0,195.0,-1.6666666666666672,0.4
195,45.0,196.0,-1.6666666666666672,0.4
196,45.0,197.0,-1.6666666666666672,0.4
197,45.0,198.0,-1.6666666666666672,0.4
198,45.0,199.0,-1.6666666666666672,0.4
199,45.0,200.0,-1.6666666666666672,0.4
