,State,Action,Reward,Error,Time,Value,Alpha,Episilon,Max V,Value,Policy
33,0,1,0.0,0.00992430797292367,4.7192370891571045,[0.14891134 0.49358446 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.14891134 0.49358446 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
34,0,0,0.0,0.02953146770503723,4.719322204589844,[0.1784428  0.49358446 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.1784428  0.49358446 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
35,1,1,1.0,0.0667014064152358,4.7194061279296875,[0.1784428  0.56028587 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.1784428  0.56028587 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
36,0,0,0.0,0.032581447511904726,4.719491004943848,[0.21102425 0.56028587 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.21102425 0.56028587 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
37,1,1,1.0,0.06296359604978365,4.719573974609375,[0.21102425 0.62324946 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.21102425 0.62324946 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
38,0,0,0.0,0.03499002640519479,4.719644069671631,[0.24601428 0.62324946 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.24601428 0.62324946 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
39,1,1,1.0,0.05981633882127281,4.719738006591797,[0.24601428 0.6830658  0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.24601428 0.6830658  0.20340202 0.036      1.18804   ],[0 1 1 0 0]
40,0,0,0.0,0.002460142787462724,4.719817876815796,[0.24355414 0.6830658  0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.24355414 0.6830658  0.20340202 0.036      1.18804   ],[0 1 1 0 0]
41,0,0,0.0,0.03712050853733613,4.719879150390625,[0.28067464 0.6830658  0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.28067464 0.6830658  0.20340202 0.036      1.18804   ],[0 1 1 0 0]
42,1,1,1.0,0.05695413785663413,4.719935894012451,[0.28067464 0.74001994 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.28067464 0.74001994 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
43,0,1,0.0,0.020790574839112216,4.7200281620025635,[0.28067464 0.74001994 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.28067464 0.74001994 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
44,0,0,0.0,0.038534330090699585,4.720118045806885,[0.31920897 0.74001994 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.31920897 0.74001994 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
45,1,1,1.0,0.05472681377913368,4.720303058624268,[0.31920897 0.79474675 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.31920897 0.79474675 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
46,0,1,0.0,0.022179607063363957,4.720409154891968,[0.31920897 0.79474675 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.31920897 0.79474675 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
47,0,1,0.0,0.019961646357027563,4.720509052276611,[0.31920897 0.79474675 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.31920897 0.79474675 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
48,0,0,0.0,0.03960631032175166,4.720582008361816,[0.35881528 0.79474675 0.20340202 0.036      1.18804   ],0.1,,1.18804,[0.35881528 0.79474675 0.20340202 0.036      1.18804   ],[0 1 1 0 0]
