,State,Action,Max V,Error,Time,Value,Policy
0,,,4.0,4.0,4.1961669921875e-05,[0. 1. 1. 1. 4.],[0 1 1 1 0]
1,,,6.52,2.5199999999999996,9.322166442871094e-05,[0.63 1.   1.   2.52 6.52],[0 1 1 0 0]
2,,,8.151699999999998,1.587599999999999,0.00014019012451171875,[0.6741 1.441  1.6317 4.1517 8.1517],[0 1 0 0 0]
3,,,9.182758,1.0001880000000014,0.00018310546875,[0.955017 1.47187  2.662758 5.182758 9.182758],[0 1 0 0 0]
4,,,9.851988729999999,0.6301184400000006,0.0002262592315673828,[0.99412929 1.74438873 3.33198873 5.85198873 9.85198873],[0 0 0 0 0]
5,,,10.276341950199999,0.24992856000000085,0.0002701282501220703,[ 1.16855395  2.16874195  3.75634195  6.27634195 10.27634195],[0 0 0 0 0]
6,,,10.55589420514,1.7763568394002505e-15,0.0003120899200439453,[ 1.44810621  2.44829421  4.03589421  6.55589421 10.55589421],[0 0 0 0 0]
