,State,Action,Max V,Error,Time,Value,Policy
0,,,4.0,4.0,3.981590270996094e-05,[0. 1. 1. 1. 4.],[0 1 1 1 0]
1,,,5.8,1.7999999999999998,9.012222290039062e-05,[0.45 1.   1.   1.8  5.8 ],[0 1 1 0 0]
2,,,6.6325,0.8100000000000005,0.00013375282287597656,[0.4725 1.225  1.225  2.6325 6.6325],[0 1 1 0 0]
3,,,7.00825,0.3645000000000005,0.00017786026000976562,[0.574875 1.23625  1.23625  3.00825  7.00825 ],[0 1 1 0 0]
4,,,7.1824562499999995,0.16402499999999964,0.00021982192993164062,[0.58505625 1.2874375  1.38245625 3.18245625 7.18245625],[0 1 0 0 0]
5,,,7.261358125,0.07381125000000055,0.0002617835998535156,[0.60859969 1.29252813 1.46135813 3.26135813 7.26135813],[0 1 0 0 0]
6,,,7.298041140625,0.03321506249999995,0.000308990478515625,[0.61206764 1.30429984 1.49804114 3.29804114 7.29804114],[0 1 0 0 0]
7,,,7.3147218953125,0.014946778125000115,0.00035190582275390625,[0.61753831 1.30603382 1.5147219  3.3147219  7.3147219 ],[0 1 0 0 0]
