,State,Action,Max V,Error,Time,Value,Policy
0,,,4.0,4.0,4.506111145019531e-05,[0. 1. 1. 1. 4.],[0 1 1 1 0]
1,,,5.44,1.4400000000000004,9.918212890625e-05,[0.36 1.   1.   1.44 5.44],[0 1 1 0 0]
2,,,5.9728,0.5184000000000002,0.00014495849609375,[0.3744 1.144  1.144  1.9728 5.9728],[0 1 1 0 0]
3,,,6.165184,0.18662400000000012,0.0001888275146484375,[0.426816 1.14976  1.14976  2.165184 6.165184],[0 1 1 0 0]
4,,,6.23653888,0.06718464000000024,0.0002319812774658203,[0.43098624 1.1707264  1.1707264  2.23653888 6.23653888],[0 1 1 0 0]
5,,,6.262393446400001,0.024186470400000326,0.00027489662170410156,[0.43870095 1.1723945  1.1723945  2.26239345 6.26239345],[0 1 1 0 0]
